2004	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
1	 680	 645	 615	 1320	 3920	 5060	 5000	 2900	 2270	 2340	 1710	 1860
2	 660	 650	 610	 1420	 4050	 5010	 4820	 2780	 2620	 2260	 1850	 1790
3	 620	 655	 605	 1530	 4010	 4910	 4630	 2750	 2910	 2160	 1710	 1790
4	 580	 666	 604	 1650	 4110	 4870	 4520	 2760	 3260	 2080	 1690	 1820
5	 560	 671	 601	 1740	 4510	 4830	 4480	 2700	 3490	 1990	 1690	 1820
6	 565	 675	 599	 1820	 4870	 4750	 4450	 2630	 3560	 1970	 1680	 1790
7	 570	 680	 609	 1980	 5030	 4670	 4410	 2580	 3430	 1910	 1910	 1840
8	 590	 685	 677	 2030	 5030	 5080	 4280	 2500	 3520	 1870	 2120	 1740
9	 650	 687	 779	 2080	 4780	 6030	 4170	 2590	 3490	 2030	 2500	 1430
10	 710	 682	 790	 2130	 4470	 6650	 4210	 2660	 3320	 1920	 2430	 1630
11	 780	 694	 747	 2200	 4370	 6450	 4170	 2600	 3380	 1820	 2580	 2380
12	 840	 693	 740	 2380	 4330	 6090	 4030	 2540	 3500	 1800	 3190	 1730
13	 930	 682	 743	 2560	 4300	 5980	 3850	 2480	 3650	 1840	 3200	 1500
14	 1010	 665	 766	 2640	 4160	 5990	 3710	 2460	 3860	 2100	 2850	 1510
15	 871	 660	 785	 2890	 4030	 6060	 3580	 2420	 3870	 2900	 2770	 1560
16	 829	 661	 801	 3130	 3860	 5990	 3510	 2410	 3760	 3070	 2730	 1570
17	 832	 665	 851	 3190	 3770	 5870	 3440	 2540	 3680	 3160	 2770	 1600
18	 824	 665	 932	 3110	 3770	 5610	 3440	 2560	 3500	 3210	 3430	 1590
19	 835	 658	 921	 2970	 3830	 5280	 3470	 2590	 3330	 3180	 3410	 1800
20	 844	 652	 889	 2810	 3920	 4990	 3500	 2590	 3270	 3000	 3080	 1800
21	 846	 640	 860	 2680	 4100	 4880	 3540	 2580	 3270	 2770	 2830	 1790
22	 851	 634	 845	 2590	 4500	 4850	 3590	 2580	 3220	 2580	 2610	 1780
23	 854	 631	 865	 2580	 4660	 4900	 3660	 2580	 3090	 2450	 2450	 1830
24	 857	 624	 878	 2600	 4770	 5050	 3750	 2530	 2940	 2320	 2610	 1790
25	 841	 622	 874	 2570	 4690	 5240	 3710	 2530	 2890	 2220	 2680	 1770
26	 809	 622	 874	 2650	 4590	 5270	 3550	 2460	 2880	 2120	 2420	 1700
27	 760	 623	 885	 2860	 4470	 5270	 3400	 2380	 2790	 2040	 2310	 1700
28	 710	 622	 902	 2840	 4480	 5310	 3320	 2300	 2670	 1900	 2160	 1580
29	 680	 620	 939	 2880	 4660	 5250	 3230	 2220	 2560	 1850	 2050	 1370
30	 660		 1060	 3380	 4950	 5120	 3130	 2080	 2440	 1840	 1940	 1310
31	 650		 1190		 5110		 3050	 2140		 1740		 1350
