2012 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	1200 	1160 	904 	1070 	6140 	7110 	9910 	5650 	2470 	1480 	1740 	1320
2 	1130 	1130 	927 	1080 	5970 	7420 	9330 	5460 	2430 	1470 	1570 	1290
3 	1120 	1100 	922 	1100 	5900 	7150 	9140 	5260 	2400 	1450 	1540 	1240
4 	1300 	1100 	972 	1130 	5830 	7010 	9150 	5090 	2370 	1440 	1730 	1200
5 	1510 	1110 	1030 	1170 	5630 	7270 	9200 	4950 	2280 	1750 	1930 	1210
6 	1360 	1100 	994 	1190 	5400 	7410 	9190 	4820 	2190 	1890 	1820 	1200
7 	1310 	1060 	957 	1210 	5270 	7230 	9240 	4700 	2130 	1810 	1860 	1180
8 	1310 	1030 	946 	1220 	5200 	7330 	9210 	4600 	2110 	1680 	1870 	1160
9 	1390 	1010 	957 	1250 	5210 	8160 	8870 	4580 	2090 	1550 	1910 	1120
10 	1460 	1000 	982 	1300 	5150 	9140 	8540 	4610 	2070 	1480 	1840 	1130
11 	1420 	1020 	994 	1360 	5210 	9480 	8360 	4550 	2040 	1430 	1720 	1130
12 	1340 	1020 	1000 	1460 	5200 	9230 	8310 	4470 	1990 	1380 	1600 	1130
13 	1280 	1030 	1000 	1590 	5110 	8980 	8370 	4340 	1980 	1350 	1510 	1130
14 	1310 	1020 	987 	1700 	5080 	8860 	8420 	4180 	2010 	1390 	1410 	1120
15 	1290 	992 	1000 	1950 	5190 	9010 	8340 	3980 	2000 	1460 	1350 	1080
16 	1260 	969 	1040 	2160 	5400 	9380 	8210 	3820 	1950 	1460 	1410 	1050
17 	1110 	960 	1030 	2340 	5530 	10000 	8020 	3710 	1870 	1540 	1430 	1030
18 	977 	974 	1050 	2420 	5700 	9940 	7840 	3680 	1820 	1650 	1500 	1020
19 	793 	977 	1030 	2530 	5860 	10100 	7640 	3620 	1760 	2080 	1520 	1010
20 	770  	970 	977 	2660 	5840 	10700  	7460 	3510 	1700 	1900 	1590 	997
21 	769  	972 	953 	2790 	5720 	11500  	7340 	3370 	1670 	1760 	1490 	1010
22 	705  	1020 	938 	2980 	5760 	11700 	7150 	3270 	1640 	1720 	1430 	1020
23 	746  	934 	931 	3270 	5460 	11600 	7000 	3260 	1610 	1730 	1370 	977
24 	875 	973 	919 	3660 	5470 	11300 	6800 	3280 	1590 	1710 	1320 	900
25 	937 	970 	907 	4010 	5780 	10800 	6660 	3250 	1560 	1630 	1260 	862
26 	997 	955 	928 	4220 	6090 	10800 	6600 	3170 	1550 	1550 	1230 	808
27 	1010 	928 	927 	4550 	6220 	11000 	6490 	3050 	1540 	1490 	1220 	813 
28 	1010 	908 	921 	4980 	6270 	11100 	6430 	2910 	1530 	1510 	1230 	813 
29 	1100 	875 	997 	5760 	6270 	10900 	6320 	2770 	1520 	1660 	1230 	796
30 	1150 		1040 	6140 	6320 	10400 	6120 	2630 	1520 	1840 	1250 	845
31 	1140 		1060 		6610 		5880 	2520 		1850 		868 
