2003	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
1	 523	 853	 578	 1160	 3560	 6840	 5430	 3480	 1880	 1470	 3400	 841
2	 704	 823	 573	 1060	 3480	 6880	 5330	 3420	 1880	 1380	 3080	 785
3	 787	 813	 551	 1110	 3400	 6800	 5370	 3390	 1780	 1320	 2730	 790
4	 829	 806	 540	 1320	 3350	 6800	 5520	 3340	 1730	 1270	 2440	 900
5	 763	 778	 547	 1410	 3380	 6930	 5610	 3290	 1720	 1230	 2230	 900
6	 790	 757	 548	 1390	 3280	 6990	 5500	 3250	 1680	 1200	 2020	 900
7	 842	 735	 519	 1240	 3210	 6860	 5460	 3170	 1660	 1180	 1850	 910
8	 827	 731	 494	 1180	 3100	 6760	 5400	 3090	 1700	 1180	 1660	 915
9	 789	 688	 472	 1270	 2970	 6700	 5180	 3070	 1790	 1200	 1510	 915
10	 722	 666	 482	 1180	 2900	 6820	 4940	 3150	 1820	 1230	 1450	 920
11	 682	 674	 504	 1260	 2870	 6910	 4820	 3220	 1820	 1310	 1350	 920
12	 683	 650	 533	 1520	 2890	 7110	 4780	 3200	 1760	 1340	 1300	 900
13	 655	 633	 959	 1700	 2910	 7300	 4760	 3160	 1670	 1480	 1310	 890
14	 605	 637	 1080	 1870	 2950	 7300	 4500	 3150	 1580	 1380	 1330	 880
15	 580	 631	 920	 1960	 3030	 7070	 4380	 3100	 1540	 1310	 1370	 860
16	 561	 643	 806	 2150	 3130	 7050	 4300	 2900	 1540	 1770	 1430	 860
17	 573	 649	 757	 2290	 3380	 6950	 4230	 2780	 1510	 3120	 1460	 840
18	 562	 635	 753	 2330	 3490	 6700	 4200	 2620	 1490	 2610	 1660	 825
19	 591	 628	 729	 2390	 3320	 6330	 4100	 2580	 1500	 2090	 1550	 821
20	 589	 638	 717	 2410	 3150	 6090	 4000	 2500	 1440	 2780	 1440	 834
21	 574	 635	 748	 2360	 3020	 5980	 3800	 2390	 1360	 3620	 1350	 851
22	 629	 628	 812	 2320	 2970	 5970	 3740	 2270	 1330	 4050	 1240	 840
23	 621	 596	 835	 2370	 3040	 5950	 3650	 2200	 1430	 4110	 1100	 830
24	 578	 540	 854	 2500	 3330	 5810	 3580	 2100	 1430	 3700	 1030	 810
25	 740	 517	 849	 2670	 4010	 5650	 3560	 2000	 1470	 3340	 981	 790
26	 1080	 507	 779	 2830	 4340	 5510	 3580	 1950	 1650	 3370	 937	 760
27	 803	 539	 863	 3100	 4750	 5380	 3570	 1880	 1740	 3320	 934	 740
28	 727	 579	 831	 3650	 5700	 5270	 3560	 1940	 1710	 3280	 975	 730
29	 721		 808	 3920	 6450	 5280	 3500	 1960	 1630	 3270	 892	 720
30	 702		 984	 3790	 6640	 5450	 3430	 1920	 1550	 3240	 882	 720
31	 801		 1360		 6670		 3430	 1900		 3420		 720
