1993 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	558   	715   	585 	957 	2950 	6030 	5190 	3260 	2500   	1310 	1220   	801
2 	545   	715   	593 	978 	3050 	5930 	5100 	3380 	2400   	1320   	1200   	859
3 	540   	717   	594 	1030 	3020 	5890 	4800 	3570 	2300   	1280   	1180   	904
4 	540   	719   	616 	1130 	3020 	5870 	4540 	3460 	2200   	1210   	1170   	986
5 	542   	720   	654 	1240 	3080 	5870 	4310 	3270 	2150   	1180   	1160   	908
6 	548   	720   	692 	1360 	3140 	5840 	4160 	3120 	2100   	1170   	1500   	851
7 	555   	731 	706 	1480 	3130 	5730 	4050 	3070 	2080   	1130   	1900   	863
8 	560   	726 	717 	1600 	3190 	5540 	3900 	3050 	2070   	1110   	1690   	816
9 	570   	709 	719 	1700 	3410 	5340 	3770 	3090 	2050   	1100   	1480   	839
10 	580   	727 	700 	1700 	3830 	5240 	3590 	3130 	2000   	1090   	1330   	1110
11 	590   	726 	691 	1810 	4280 	5050 	3550 	3100 	1960   	1110   	1200   	1070
12 	600   	727 	682 	1950 	4600 	5040 	3610 	3040 	1900   	1070   	1100   	931
13 	625   	708 	684 	2120 	4970 	4910   	3610 	3010 	1880   	1040   	1020   	884
14 	640   	698 	694 	2080 	5330 	4800   	3560 	3000 	1850   	980   	920   	926
15 	650   	687 	725 	2090 	5980 	4770   	3460 	2930 	1820   	930   	980   	923
16 	655   	673 	698 	2030 	6960 	4700   	3350 	2840 	1760   	900   	1080   	942
17 	675   	661 	682 	1920 	7810 	4600   	3270 	2690   	1700   	880   	1030 	896
18 	720   	638 	701 	1950 	8310 	4550   	3230 	2650   	1620   	850   	997 	830
19 	750   	633 	680 	1910 	8500 	4500   	3200 	2600   	1580   	900   	978 	783
20 	770   	629 	677 	1980 	8460 	4400   	3170 	2520   	1560   	840   	953 	774
21 	760   	623 	676 	2090 	8140 	4380   	3180 	2500   	1510 	800   	1010 	834
22 	750   	605 	780 	2200 	7860 	4320   	3170 	2510   	1460 	820   	916 	808
23 	760   	588 	1110 	2250 	7680 	4300   	3170 	2540   	1420 	950   	872 	762
24 	780   	581 	947 	2330 	7560 	4240 	3180 	2620   	1370 	1170   	775 	713
25 	800   	579 	868 	2460 	7380 	4180 	3200 	2680   	1330 	1000   	691 	648
26 	775   	584 	873 	2580 	7040 	4240 	3210 	2700   	1300 	950   	604 	649
27 	755   	578 	867 	2680 	6670 	4290 	3220 	2850   	1270 	1150   	591 	636
28 	740   	579 	867 	2760 	6400 	4230 	3240 	2800   	1250 	1160   	584 	627
29 	730   		909 	2820 	6330 	4290 	3270 	2730   	1260 	1150   	593 	702
30 	725   		933 	2910 	6190 	4840 	3270 	2650   	1280 	1140   	731 	694
31 	725   		972 		6040 		3220 	2590   		1170   		709 
