2008 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	1110 	702 	920 	759 	1900 	9450 	5930 	3410 	3320 	1580 	1430 	1520
2 	1140 	790 	894   	734 	2160   	9450 	6150 	3400 	3600 	1610 	1440 	1520
3 	1130 	779 	877   	739 	2370 	9200 	6400 	3370 	3560 	1620   	1480 	1480
4 	1130 	746 	871 	735 	2610 	9010   	6660 	3310 	3330 	1950   	1490 	1430
5 	1130 	763 	857 	727 	2850 	8810   	6770 	3260 	3270 	1520   	1530   	1420
6 	1040 	814 	849 	724 	3140 	8710 	6840 	3160 	3210 	1450   	1580 	1370
7 	969 	844 	842 	736 	3370 	8750 	6710 	3070 	3060 	1300 	1710 	1340
8 	980 	871 	837 	751 	3440 	8580 	6650   	3010   	2960 	1220 	1760 	1260
9 	941 	900 	831 	736 	3540 	8130 	6510   	2990   	2840 	1290 	1760 	1320
10 	981   	903 	846 	739 	3680 	7890 	6390   	2960   	2630 	1330 	1750 	1410
11 	990   	861   	905 	749 	3730 	7510   	6030 	2940   	2370 	1350   	1730 	1470
12 	970   	843   	920 	760 	3700 	7110 	5760 	2950 	2260 	1300   	2110 	1460
13 	950   	869 	895 	846 	3850 	6930 	5490 	3040 	2160 	1260   	2240 	1410
14 	980   	899 	882 	943 	4040 	6690 	5120 	3320 	2060 	1220   	2050 	1380
15 	960   	894 	879 	1090 	4400 	6560 	4730 	3490 	2050 	1510   	2020 	1230
16 	950   	882 	883 	1200 	4980 	6680 	4470 	3320 	2180   	1530 	2080 	1010
17 	945   	881 	882 	1330 	5630 	6940 	4350 	3150 	2190   	1650 	2020 	859
18 	950   	886 	871 	1420 	6320 	6650   	4170 	3080 	2250   	1670 	1950 	781
19 	945   	868 	879 	1510 	7140   	6220 	4050 	3110 	2170   	1610 	1900 	707
20 	960   	863   	883 	1580 	7980   	6080 	4000 	3290 	2100   	1670 	1900 	648
21 	930   	840   	846 	1570 	8750 	6220 	3970 	3470 	1970   	1620 	1880 	688
22 	875   	859 	795   	1530 	9130 	6300 	3900 	3500 	1750   	1620 	1850 	729
23 	858   	861 	795   	1460 	9730 	6120   	3870 	3670 	1710 	1600 	1780 	930
24 	816 	855   	820   	1390 	10200 	5940 	3870 	3910 	1640 	1620 	1710 	818  
25 	796 	852   	815 	1330 	10100 	6040 	3910 	3920 	1660 	1610 	1670 	750  
26 	772 	844 	791   	1300 	9780 	6180 	3870 	3710 	1680 	1620 	1630 	770  
27 	784 	845 	797 	1270 	9580 	5980 	3780 	3320   	1840 	1580 	1590 	810  
28 	823 	862 	785 	1320 	9430 	5900 	3580 	3300 	1790 	1530 	1550 	845  
29 	808 	877 	780 	1480 	9420 	5920 	3480 	3360 	1740 	1550 	1520 	900  
30 	702 		780 	1660   	9350 	5900 	3420 	3170 	1680 	1490 	1520 	933
31 	685 		768 		9290 		3410 	3200 		1440 		969 
