1982 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	765   	913 	889 	832 	2390 	7260 	8090 	5650 	3230 	2630 	2200 	1190
2 	720   	914 	897 	838 	2530 	7410 	7920 	5650 	3170 	2740 	2080 	1250
3 	670   	918 	882 	821 	2690 	7700 	7910 	5800 	3100 	2670 	2010 	1730
4 	655   	899 	865 	816 	2880 	8110 	7980 	5960 	3160 	2510 	2040 	1670
5 	640   	877 	851 	806 	2900 	8390 	7900 	6210 	3320 	2410 	1920 	1410
6 	650   	872 	840 	802 	3040 	8560 	7980 	6470 	3390 	2360 	1840 	1310
7 	660   	854 	839 	825 	3190 	8610 	8130 	6370 	3470 	2360 	1750 	1220
8 	680   	849 	844 	784 	3310 	8490 	8290 	5980 	3560 	2300 	1780 	1160
9 	700   	832 	856 	826 	3650 	8230 	8150 	5630 	3690 	2290 	1750 	1110
10 	730   	826 	871 	791 	3860 	7870 	7780 	5350 	3860 	2430 	1710 	1080
11 	804 	815 	873 	823 	4210 	7630 	7410 	5160 	4640 	2450 	1670 	1050
12 	833 	810 	863 	847 	4440 	7670 	7060 	5110 	5880 	2350   	1610 	1050
13 	863 	838 	864 	897 	4700 	7950 	6710 	5220 	6260 	2250 	1560 	1060
14 	910 	908 	854 	935 	4980 	8280 	6480 	5280 	5730 	2200 	1510 	1100
15 	912 	937 	840 	841 	5130 	8710 	6360 	5220 	5080 	2220 	1420 	1110
16 	892 	1010 	833 	892 	5280 	9290 	6340 	5030 	4540 	2170 	1390 	1190
17 	906 	1080 	823 	844 	5560 	9620 	6690 	4770 	4100 	2170 	1380 	1180
18 	870 	1020 	823 	836 	5860 	9780 	7300 	4570 	3750 	2130 	1380 	1150
19 	854 	1010 	815 	846 	6190 	9760 	7770 	4770 	3500 	2130 	1380 	1100
20 	836 	1120 	815 	858 	6890 	9680 	7620 	5030 	3290 	2170 	1340 	1020
21 	837 	1140 	813 	891 	7360 	9620 	7200 	4720 	3140 	2170 	1280 	1080
22 	841 	1040 	813 	953 	7450 	9630 	7020 	4330 	3020 	2370 	1180 	1080
23 	870 	981 	813 	1060 	7200 	9620 	7090 	4030 	2920 	2470 	1030 	1050
24 	1010 	937 	813 	1120 	7210 	9640 	7280 	3830 	2840 	2280 	954 	978
25 	893 	915 	815 	1210 	7700 	9640 	7520 	3740 	2750 	2250 	879 	889
26 	900 	899 	837 	1310 	7790 	9380 	7260 	3640 	2690 	2230 	882 	885
27 	907 	875 	844 	1430 	7570 	9050 	6840 	3520 	2630 	2280 	907 	870
28 	903 	860 	839 	1590 	7710 	8560 	6410 	3420 	2620 	2210 	974 	866
29 	896 		844 	1790 	7660 	8270 	6060 	3350 	2570 	2120 	1120 	892
30 	913 		845 	2090 	7440 	8190 	5840 	3320 	2560 	2150 	1120 	853
31 	926 		841 		7300 		5740 	3300 		2180 		817 
