1994 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	691 	940 	925 	1530 	5040 	5780 	5890 	4060 	1790 	1410 	1210 	911
2 	688 	882 	1240 	1730 	4950 	5460 	5820 	3890 	1760 	1470 	1140 	826
3 	708 	848 	1290 	1940 	5030 	5240 	5830 	3760 	1740 	1450 	1080 	759
4 	764 	817 	1250 	2160 	5130 	5180 	6070 	3660 	1750 	1620 	1040 	663
5 	857 	796 	1140 	2440 	5200 	5210 	6560 	3570 	1770 	2080 	1010 	595
6 	783 	766 	1070 	2580 	5190 	5300 	6900 	3530 	1770 	2160 	981 	589
7 	731 	729 	1100 	2730 	5220 	5530 	6960 	3530 	1750 	1920 	951 	583
8 	645 	668 	1080 	2780 	5350 	5800 	6690 	3530 	1700 	1710 	928 	577
9 	647 	630 	1100 	2880 	5610 	6170 	6180 	3490 	1660 	1580 	899 	577
10 	679 	605 	1110 	2780 	5940 	6480 	5780 	3370 	1620 	1490 	910 	591
11 	707 	615 	1100 	2730 	6180 	6640 	5570 	3240 	1610 	1410 	892 	633
12 	744 	671 	1070 	2770 	6480 	6640 	5390 	3100 	1620 	1340 	886 	654
13 	768 	695 	1070 	2760 	6590 	6570 	5170 	2960 	1610 	1340 	880 	630
14 	831 	717 	1120 	2970 	6670 	6410 	4970 	2840 	1580 	1350 	876 	629
15 	851 	775 	1110 	3330 	6890 	6510 	4840 	2740 	1570 	1310 	881 	646
16 	870 	804 	1120 	3500 	7000 	6740 	4690 	2670 	1510 	1240 	887 	643
17 	869 	808 	1130 	3410 	6740 	6800 	4560 	2660 	1490 	1180 	871 	690
18 	819 	783 	1220 	3350 	6400 	6550 	4520 	2670 	1560 	1110 	842 	878
19 	738 	745 	1260 	3500 	6190 	6100 	4510 	2670 	1560 	1080 	810 	966
20 	746 	682 	1280 	3950 	6070 	5770 	4550 	2630 	1520 	1080 	759 	1510
21 	804 	631 	1290 	4410 	5920 	5630 	4720 	2560 	1540 	1130 	727 	1230
22 	853 	613 	1270 	4610 	5790 	5570 	4850 	2500 	1510 	1040 	671 	1060
23 	890 	599 	1230 	4720 	5740 	5520 	4760 	2460 	1500 	1020 	646 	954
24 	848 	593 	1170 	5140 	5810 	5620 	4650 	2440 	1480 	1040 	634 	894
25 	945 	592 	1130 	5510 	5930 	5690 	4590 	2420 	1440 	1070 	655 	886
26 	929 	590 	1100 	5750 	6090 	5780 	4550 	2430 	1410 	1190 	661 	923
27 	947 	589 	1080 	5780 	6200 	5910 	4430 	2340 	1390 	1250 	682 	997
28 	998 	669 	1120 	5570 	6350 	6010 	4340 	2210 	1390 	1150 	675 	1020
29 	1020 		1200 	5350 	6590 	6080 	4320 	2060 	1400 	1170 	662 	980
30 	1000 		1300 	5220 	6510 	6040 	4380 	1940 	1390 	1250 	973 	916
31 	1010 		1410 		6140 		4270 	1850 		1240 		837 
