2002	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
1	 711	 626	 636	 604	 3440	 8530	 10100	 4360	 2470	 2410	 1130	 1200
2	 719	 657	 626	 636	 3980	 8790	 9840	 4180	 2470	 2450	 1110	 1160
3	 756	 687	 658	 633	 4430	 8720	 9620	 3950	 2450	 2430	 1080	 1100
4	 798	 701	 654	 660	 5030	 8440	 9100	 3750	 2410	 2340	 1010	 1040
5	 827	 732	 655	 679	 5400	 8260	 8490	 3590	 2420	 2500	 992	 1050
6	 838	 755	 621	 662	 5390	 8290	 7890	 3440	 2460	 2850	 974	 998
7	 1590	 771	 566	 678	 5040	 8290	 7330	 3310	 2410	 2770	 986	 930
8	 2150	 752	 535	 651	 4760	 8660	 7030	 3220	 2300	 2540	 1010	 880
9	 1520	 727	 518	 639	 4520	 9090	 6670	 3150	 2200	 2610	 1070	 850
10	 1260	 713	 499	 667	 4270	 8980	 6540	 3120	 2080	 3460	 1070	 839
11	 1130	 714	 531	 703	 4060	 8510	 6440	 3080	 1980	 3750	 1080	 831
12	 1060	 704	 593	 829	 3990	 8220	 6510	 3000	 1890	 3290	 1150	 899
13	 1030	 693	 628	 1200	 4190	 8360	 6620	 2980	 1860	 2910	 1240	 1010
14	 1010	 665	 637	 1700	 4410	 8760	 6760	 2980	 1900	 2640	 1130	 921
15	 954	 683	 635	 1550	 4160	 9140	 6900	 2910	 1900	 2410	 1100	 1010
16	 920	 681	 623	 1900	 4540	 9440	 6920	 2840	 1890	 2240	 1090	 1010
17	 890	 662	 586	 2190	 5140	 9660	 6850	 2820	 1960	 2100	 1170	 1040
18	 874	 665	 578	 2530	 5280	 10000	 6730	 2820	 1930	 2000	 1160	 1020
19	 835	 680	 522	 2570	 5130	 10200	 6510	 2830	 1870	 1900	 1270	 905
20	 827	 696	 507	 2590	 5310	 10400	 6290	 2780	 1880	 1830	 1420	 893
21	 819	 745	 492	 2610	 5570	 10600	 6140	 2670	 1970	 1780	 1390	 824
22	 794	 1180	 495	 2670	 5820	 10400	 6080	 2490	 2490	 1660	 1570	 780
23	 767	 906	 491	 3020	 6510	 9870	 6010	 2410	 3150	 1510	 1930	 732
24	 819	 760	 503	 3190	 7260	 9440	 5930	 2330	 2940	 1460	 2310	 650
25	 850	 685	 535	 3200	 7500	 9580	 5470	 2290	 2780	 1420	 2110	 635
26	 784	 640	 545	 3170	 7230	 9860	 5250	 2260	 2830	 1400	 1840	 658
27	 720	 606	 623	 3040	 7190	 10100	 5110	 2280	 2910	 1350	 1630	 658
28	 631	 640	 626	 2860	 7210	 10200	 5050	 2370	 2860	 1300	 1460	 628
29	 592		 595	 2940	 7580	 10100	 5040	 2480	 2670	 1260	 1320	 569
30	 542		 570	 3090	 7860	 10200	 4950	 2540	 2520	 1210	 1250	 542
31	 555		 570		 8140		 4620	 2520		 1170		 495
