1981 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	2760 	1670 	1430 	1570 	3330 	7650 	5110 	4640 	2700 	1570 	2110 	1390
2 	2760 	1590 	1400 	1660 	3260 	7790 	5010 	4650 	2600 	1670 	1910 	1390
3 	2680 	1540 	1370 	1670 	3230 	8030 	5170 	4560 	2470 	1560 	1810 	1300
4 	2500 	1500 	1350 	1650 	3390 	8060 	5250 	4410 	2460 	1530 	2110 	1290
5 	2270 	1470 	1330 	1660 	3440 	7830 	5250 	4250 	2520 	1580 	2250 	1420
6 	2080 	1430 	1320 	1620 	3420 	7770 	5290 	4090 	2520 	1670 	2320 	1390
7 	1980 	1370 	1290 	1580 	3360 	7580 	5430 	3930 	2500 	1830 	2370 	1310
8 	1900 	1350 	1290 	1550 	3380 	7360 	5500 	3800 	2410 	1740 	2340 	1270
9 	1860 	1330 	1280 	1530 	3470 	7120 	5370 	3710 	2320 	1690 	2210 	1270
10 	1820 	1270 	1260 	1490 	3470 	6850 	5280 	3680 	2260 	1650 	2090 	1340
11 	1780 	1200 	1250 	1480 	3510 	6480 	5050 	3750 	2220 	1630 	2110 	1280
12 	1710 	1130 	1240 	1450 	3620 	6120 	4770 	3780 	2230 	1610 	2420 	1190
13 	1670 	1150 	1240 	1430 	3740 	5930 	4510 	3820 	2250 	1590 	2200 	1080
14 	1640 	1260 	1230 	1390 	3720 	5780 	4400 	3870 	2240 	1560 	2070 	1070
15 	1590 	1350 	1240 	1370 	3860 	5720 	4360 	3900 	2190 	1540 	2100 	1050
16 	1520 	1480 	1240 	1390 	3960 	5670 	4390 	3890 	2090 	1500 	2130 	1010
17 	1470 	1680 	1250 	1370 	4170 	5590 	4490 	3790 	2000 	1470 	2050 	989
18 	1420 	1570 	1290 	1370 	4460 	5550 	4580 	3640 	1920 	1440 	1990 	963
19 	1410 	1710 	1300 	1420 	4870 	5720 	4640 	3510 	1870 	1410 	1940 	1020
20 	1410 	1680 	1320 	1510 	5160 	5730 	4700 	3440 	1880 	1410 	1880 	1080
21 	1460 	1630 	1330 	1570 	5470 	5570 	4740 	3350 	1940 	1410 	1850 	1090
22 	1610 	1620 	1330 	1680 	5740 	5460 	4840 	3260 	2010 	1430 	1820 	1080
23 	1730 	1620 	1310 	1960 	6050 	5500 	4930 	3230 	2040 	1400 	1730 	1020
24 	1760 	1630 	1300 	2400 	6530 	5440 	4980 	3170 	1990 	1370 	1680 	964
25 	1810 	1620 	1290 	2480 	7260 	5370 	5040 	3090 	1890 	1340 	1620 	997
26 	1820 	1580 	1270 	2770 	7510 	5340 	4930 	2950 	1770 	1330 	1570 	1050
27 	1840 	1530 	1260 	3320 	7560 	5310 	4890 	2900 	1680 	1340 	1520 	1060
28 	1850 	1470 	1260 	3490 	7830 	5210 	4790 	2830 	1690 	1460 	1470 	1040
29 	1840 		1300 	3310 	8230 	5170 	4690 	2810 	1620 	1480 	1440 	1010
30 	1820 		1350 	3180 	8370 	5200 	4620 	2810 	1540 	1470 	1380 	961
31 	1750 		1440 		8090 		4640 	2780 		1760 		848 
