1980 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	861 	853 	805 	721 	4290 	4230 	5300 	3130 	2370 	2460 	1470 	1360
2 	847 	726 	710 	722 	5160 	4210 	5060 	3020 	2340 	2450 	1600 	1310
3 	826 	689 	694 	717 	5310 	4230 	4830 	2940 	2310 	2750 	1550 	1190
4 	824 	674 	751 	745 	5180 	4380 	4520 	2840 	2420 	2990 	1590 	1050
5 	796 	661 	727 	747 	5340 	4460 	4280 	2840 	2600 	3080 	1610 	893
6 	730 	650 	708 	807 	5540 	4580 	4080 	2830 	2670 	2900 	1690 	789
7 	676 	632 	693 	787 	5300 	4640 	4000 	2800 	2680 	2640 	1920 	680
8 	643 	626 	704 	820 	5100 	4760 	4020 	2760 	2760 	2500 	2080 	659
9 	603 	623 	714 	846 	5290 	4760 	4120 	2710 	3120 	2420 	1960 	704
10 	581 	621 	727 	881 	5480 	4660 	4070 	2660 	3370 	2340 	1890 	936
11 	538   	616 	707 	918 	5530 	4430 	3920 	2590 	3290 	2260 	1850 	1120
12 	555   	613 	726 	943 	5590 	4390 	3830 	2540 	3020 	2230 	1830 	1150
13 	580 	600 	723 	998 	5670 	4660 	3770 	2500 	2810 	2190 	1790 	1170
14 	570 	592 	710 	1110 	5660 	4860 	3750 	2500 	2620 	2110 	1740 	1240
15 	595 	577 	700 	1220 	5630 	4950 	3730 	2500 	2490 	2020 	1680 	1570
16 	636 	569 	688 	1330 	5650 	4980 	3710 	2530 	2380 	1960 	1610 	1800
17 	644 	564 	685 	1560 	5580 	5100 	3730 	2570 	2300 	1930 	1550 	1790
18 	646 	562 	691 	1930 	5500 	5190 	3840 	2680 	2220 	1890 	1510 	1880
19 	621 	592 	688 	2510 	5530 	5240 	4000 	2740 	2150 	1820 	1530 	2150
20 	618 	596 	687 	2860 	5670 	5430 	4210 	2980 	2170 	1760 	1480 	3770
21 	595 	579 	690 	2790 	5730 	5830 	4290 	3180 	2160 	1710 	1740 	3490
22 	572 	571 	676 	2760 	5510 	6070 	4240 	3110 	2220 	1660 	1580 	3100
23 	606 	547 	695 	2740 	5150 	5580 	4080 	2960 	2590 	1650 	1490 	2580
24 	631 	550 	664 	2810 	4910 	5150 	3890 	2770 	2670 	1700 	1450 	2190
25 	643 	549 	692 	2630 	4610 	4960 	3760 	2580 	2780 	1710 	1420 	2210
26 	656 	600 	677 	2620 	4390 	4920 	3770 	2460 	2880 	1660 	1370 	3510
27 	657 	880 	657 	2800 	4190 	4930 	3790 	2520 	2790 	1590 	1630 	4210
28 	787 	972 	672 	3230 	4090 	5050 	3670 	2560 	2640 	1530 	1540 	3180
29 	833 	941 	707 	3540 	4030 	5140 	3490 	2510 	2550 	1510 	1470 	2470
30 	882 		708 	3710 	4080 	5370 	3330 	2450 	2630 	1470 	1420 	2330
31 	937 		718 		4120 		3200 	2420 		1460 		2520 
