1990 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	2000 	745   	885 	1140 	4220 	7790 	7980 	4470 	2130 	1460 	1860 	1480
2 	1790 	663   	877 	1280 	4010 	8260 	7740 	4330 	2110 	1400 	1720 	1430
3 	1630 	679 	876 	1390 	3930 	9140 	7560 	4260 	2140 	1380 	1600 	1410
4 	1480 	703 	872 	1510 	3980 	9810 	7460 	4200 	2200 	2120 	1550 	1680
5 	1430 	789 	861 	1680 	4230 	9730 	7420 	4120 	2240 	1780 	1500 	1660
6 	1440 	845 	856 	1840 	4540 	9350 	7330 	3960 	2190 	1540 	1400 	1540
7 	1410 	912 	873 	2000 	4710 	9000 	7340 	3790 	2070 	1430 	1350 	1480
8 	1400 	914 	893 	2140 	5060 	8320 	7240 	3630 	1970 	1390 	1340 	1500
9 	1370 	875 	878 	2180 	5430 	7920 	7180 	3550 	1900 	1380 	2140 	1540
10 	1370 	960 	879 	2230 	5430 	7720 	7180 	3550 	1850 	1430 	3240 	1540
11 	1310 	1230 	866 	2190 	5210 	7630 	7110 	3530 	1830 	1380 	3090 	1490
12 	1240 	1080 	854 	2200 	5010 	7680 	7070 	3470 	1800 	1500 	2530 	1410
13 	1200 	1010 	847 	2140 	4880 	8120 	7010 	3420 	1790 	1810 	2970 	1370
14 	1150 	909 	841 	2110 	4810 	9260 	6910 	3400 	1750 	1690 	2410 	1330
15 	1150 	823   	839 	2190 	4700 	9890 	6850 	3420 	1730 	1560 	2070 	1320
16 	1130 	758   	853 	2360 	4570 	10100 	6920 	3450 	1740 	1490 	2050 	1270
17 	1100 	719   	864 	2590 	4450 	9800 	6780 	3460 	1740 	1430 	2490 	1250
18 	1080 	671   	905 	2870 	4450 	9390 	6400 	3430 	1710 	1390 	2580 	1250
19 	998 	675   	925 	3110 	4510 	9120 	6000 	3350 	1660 	1340 	2460 	1100  
20 	948 	699   	951 	3350 	4650 	8770 	5690 	3240 	1640 	1270 	2290 	950  
21 	918 	758   	996 	3650 	4820 	8590 	5470 	3120 	1630 	1250 	2160 	900  
22 	936 	822   	1020 	4000 	4940 	8620 	5230 	3000 	1640 	1240 	2110 	872  
23 	984 	853 	1020 	4440 	5050 	8650 	5000 	2890 	1610 	1210 	2960 	838  
24 	1010 	865 	1010 	4820 	5210 	8620 	4840 	2810 	1560 	1160 	3180 	800  
25 	1030 	896 	1000 	5010 	5340 	8640 	4710 	2790 	1520 	1450 	2300 	798  
26 	1010 	902 	1010 	5290 	5400 	8770 	4660 	2750 	1470 	1860 	1870 	820  
27 	996 	894 	1010 	5410 	5630 	8820 	4700 	2670 	1470 	1550 	1670 	780  
28 	985 	892 	1020 	5250 	6170 	8670 	4690 	2540 	1500 	1720 	1500 	744  
29 	988 		1030 	4930 	6720 	8440 	4650 	2400 	1520 	1800 	1500 	729  
30 	965 		1030 	4590 	7040 	8230 	4630 	2250 	1510 	1950 	1530 	720  
31 	911   		1070 		7390 		4580 	2190 		1910 		738   
