2006	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
1	 1730	 1220	 835	 1000	 2920	 6080	 4580	 2970	 1700	 1180	 1350	 510
2	 1650	 1200	 802	 1010	 3080	 6210	 4580	 2920	 1680	 1170	 1370	 562
3	 1570	 1180	 786	 999	 3200	 6320	 4460	 2890	 1650	 1170	 1360	 664
4	 1510	 1180	 820	 974	 3140	 6270	 4300	 2880	 1610	 1150	 1580	 697
5	 1540	 1180	 858	 1090	 3080	 6520	 4160	 2760	 1540	 1130	 1650	 749
6	 1690	 1150	 871	 1210	 3030	 6930	 4100	 2650	 1450	 1090	 2400	 734
7	 1760	 1130	 847	 1310	 2960	 6990	 4060	 2570	 1430	 1050	 2680	 776
8	 1610	 1100	 840	 1440	 2940	 6790	 4030	 2490	 1480	 990	 2010	 854
9	 1540	 1090	 839	 1600	 3000	 6610	 4060	 2450	 1500	 949	 1550	 900
10	 1550	 1060	 819	 1780	 3110	 6490	 4120	 2410	 1530	 921	 1470	 932
11	 1560	 1010	 812	 2030	 3200	 6420	 4080	 2360	 1520	 890	 1460	 966
12	 1520	 1000	 789	 2190	 3160	 6410	 4010	 2330	 1510	 865	 1470	 1030
13	 1500	 1010	 777	 2320	 3030	 6440	 4000	 2340	 1510	 840	 1440	 1130
14	 1480	 989	 761	 2280	 2970	 6490	 3990	 2330	 1510	 818	 1350	 1130
15	 1420	 964	 772	 2220	 3050	 6380	 3910	 2300	 1500	 800	 1400	 1130
16	 1380	 937	 767	 2200	 3350	 6210	 3810	 2230	 1460	 800	 1880	 1040
17	 1390	 904	 760	 2150	 3780	 6150	 3800	 2180	 1410	 780	 1520	 979
18	 1360	 866	 747	 2070	 4130	 6080	 3810	 2170	 1370	 762	 1370	 920
19	 1330	 820	 752	 1960	 4370	 6050	 3690	 2160	 1330	 759	 1390	 880
20	 1290	 795	 743	 1890	 4870	 5880	 3510	 2120	 1260	 772	 1480	 901
21	 1240	 806	 733	 1900	 5520	 5670	 3350	 2070	 1220	 775	 1450	 981
22	 1200	 830	 719	 1890	 5970	 5410	 3240	 2030	 1180	 765	 1390	 970
23	 1230	 902	 742	 2060	 6360	 5190	 3160	 2010	 1150	 784	 1290	 921
24	 1250	 886	 766	 2360	 6700	 4990	 3130	 1980	 1160	 860	 1220	 858
25	 1240	 852	 807	 2430	 6980	 4880	 3150	 1940	 1180	 851	 1110	 866
26	 1250	 815	 832	 2430	 7100	 4800	 3210	 1900	 1120	 851	 967	 831
27	 1230	 830	 859	 2430	 7190	 4710	 3260	 1860	 1090	 917	 814	 811
28	 1210	 873	 894	 2520	 7070	 4610	 3290	 1820	 1100	 915	 643	 780
29	 1210		 931	 2760	 6750	 4520	 3260	 1780	 1130	 965	 594	 741
30	 1220		 967	 2900	 6420	 4510	 3170	 1760	 1180	 984	 541	 708
31	 1200		 987		 6170		 3070	 1730		 1080		 703
