2007 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	689 	706 	677 	1570 	4350 	6890 	6440 	4630 	2370 	2210 	3090 	1570
2 	1040 	682 	669 	1510 	4200 	7250 	6550 	4460 	2300 	2320 	3020 	1510
3 	1180 	658 	655 	1460 	4030 	7800 	6710 	4440 	2330 	2180 	2920 	1510
4 	1020   	642 	657 	1390 	3870 	8560 	6850 	4280 	2370 	2090 	2820 	2080
5 	917 	644 	662 	1360 	3910 	9200 	6810 	4100 	2330 	2160 	2670 	1920
6 	875 	685 	674 	1340   	4140 	9740 	6660 	3970 	2330 	2210 	2550 	1540
7 	856 	726 	757 	1330   	4260 	10200 	6550 	3920 	2310 	2280 	2480 	1290
8 	882 	758 	847 	1390   	4410 	10500 	6580 	3870 	2290 	2240 	2440 	1160
9 	893 	761 	850 	1550   	4590 	10800 	6640 	3800 	2400 	2080 	2480 	1160
10 	893 	720 	899 	1750   	5120 	10800 	6580 	3690 	2430 	2180 	2680 	1180
11 	798 	710 	1280 	2100   	6000 	10600 	6440 	3580 	2380 	2530 	2780 	1250
12 	696 	730 	2700 	2500   	6490 	9940 	6270 	3440 	2250 	2390 	2870 	1340
13 	614 	746 	1970 	3010   	6250 	9410 	6120 	3310 	2100 	2250 	2900 	1410
14 	577 	739 	1670 	3200 	5890 	9040 	6070 	3180 	2010 	2170 	2800 	1450
15 	560 	733   	1550 	3230 	5710 	8580 	6090 	3050 	1970 	2120 	2760 	1480
16 	610 	790   	1520 	3230 	5740 	8100 	6080 	2980 	1940 	2060 	2810 	1480
17 	624 	792 	1640 	3280 	5750 	7730 	6070 	2920 	1910 	2040 	2590 	1480
18 	666 	825 	1800 	3350   	5770 	7460 	6070 	2870 	1860 	1970 	2460 	1460
19 	666 	806 	1830 	3290 	5970 	7340 	6100 	2810 	1770 	1990 	2370 	1480
20 	685 	821 	1900 	3290 	6120 	7460 	6020 	2770   	1750 	2010 	2320 	1420
21 	689 	777 	1750 	3280 	6180 	7610 	5890 	2770 	1720 	2010 	2220 	1300
22 	737 	757 	1700 	3240 	6210 	7590 	5960 	2780 	1690 	2040 	2110 	1310
23 	756 	743   	1690 	3200 	6280 	7360 	6100 	2760 	1650 	2110   	1990 	1310
24 	776 	730   	1880 	3220 	6210 	7170 	6040 	2720 	1660 	2170 	1910 	1300
25 	785 	715   	1950 	3310 	6090 	7150 	5810 	2670 	1700 	2300 	1780 	1290
26 	772 	714   	1790 	3720 	6010 	7130 	5630 	2630 	1760 	2720 	1690 	1270
27 	743 	708   	1650 	4380 	5980 	7000 	5610 	2590 	1710 	3220 	1660 	1290
28 	701 	700   	1610 	4770 	5920 	6750 	5510 	2540 	1740 	3350 	1630 	1290
29 	666 		1590 	4550 	5990 	6550 	5250 	2520 	1940 	3190 	1640 	1270
30 	678 		1580 	4460 	6320 	6450 	4970 	2480 	2080 	2990 	1630 	1210
31 	706 		1590 		6650 		4770 	2440 		2960 		1110 
