1984 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	800   	1010 	946 	1670 	2070 	3930 	8000 	5250 	3180 	2100 	1590 	1200
2 	850   	1010 	961 	1690   	2060 	4290 	8210 	5120 	2980 	2010 	1370 	1050
3 	1010 	1030 	930 	1700 	2030 	4570 	8270 	5020 	2740 	1930 	1370 	1000
4 	2590 	1060 	914 	1680 	2010 	4590 	8190 	4910 	2650 	1880 	1390 	1030
5 	2050 	1080 	913 	1770 	2080 	4470 	7900 	4850 	2690 	1870 	1350 	997
6 	1540 	1080 	915 	1740 	2110 	4420 	7520 	4810 	2790 	1980 	1410 	937
7 	1360 	1070 	914 	1720 	2110 	4610 	7140 	4690 	2560 	2230 	1580 	890
8 	1300 	1050 	937 	1730 	2130 	4920 	7230 	4590 	2440 	2420 	1530 	951
9 	1230 	1050 	944 	1760 	2150 	5140 	7600 	4530 	2550 	2760 	1550 	948
10 	1210 	1030 	964 	1680 	2180 	5480 	7610 	4500 	2860 	3030 	1560 	924
11 	1220 	1010 	981 	1610 	2340 	5900 	7270 	4260 	3010 	3540 	1560 	937
12 	1250 	1030 	986 	1580 	2520 	6330 	7000 	4000 	3200 	4010 	1540 	992
13 	1240 	1030 	999 	1550 	2600 	6820 	6720 	3900 	3350 	3870 	1500 	1070
14 	1190 	1010 	1010 	1550 	2690 	7380 	6660 	3780 	3290 	3890 	1420 	1120
15 	1120 	993 	992 	1620 	2700 	7780 	6640 	3690 	3120 	3700 	1390 	1070
16 	1070 	992 	998 	1750 	2750 	8130 	6640 	3540 	2840 	3480 	1320 	940
17 	1020 	972 	1030 	1900 	2920 	8210 	6560 	3600 	2670 	3270 	1220 	906
18 	965 	964 	1050 	2230 	3130 	8170 	6400 	3450 	2610 	3000 	1140 	900  
19 	920   	950 	1050 	2560 	3320 	8000 	6260 	3360 	2480 	2780 	1190 	835  
20 	880   	1040 	1070 	2660 	3420 	7650 	6240 	3250 	3140 	2560 	1260 	775  
21 	860   	1090 	1160 	2610 	3450 	7280 	6220 	3090 	3790 	2420 	1270 	725  
22 	865   	1040 	1170 	2580 	3550 	6930 	6020 	3090 	3940 	2280 	1270 	675  
23 	890   	1000 	1240 	2600 	3820 	6580 	5790 	3180 	3740 	2130 	1300 	635  
24 	968 	979 	1330 	2610 	3830 	6440 	5540 	3050 	3410 	2030 	1310 	635  
25 	1100 	968 	1430 	2580 	3670 	6450 	5320 	2850 	3110 	2050 	1220 	650  
26 	1010 	960 	1530 	2510 	3560 	6600 	5170 	2700 	2850 	1940 	1210 	660  
27 	1060 	961 	1670 	2420 	3420 	6950 	5000 	2670 	2640 	1950 	1300 	670  
28 	1170 	967 	1740 	2320 	3360 	7420 	5000 	2610 	2460 	2180 	1300 	670  
29 	1130 	952 	1700 	2220 	3480 	7830 	5140 	2710 	2310 	2230 	1300 	655  
30 	1060 		1700 	2150 	3800 	7860 	5280 	2970 	2200 	2080 	1270 	630  
31 	1030 		1670 		3840 		5370 	3110 		1830 		610   
