1986 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	710 	817 	1050 	2020 	2270 	9900 	6330 	4260 	2370 	1400 	1510 	1130
2 	688 	817 	989 	1960 	2230 	10400 	6340 	4130 	2430 	1390 	1460 	1140
3 	693 	804 	969 	1870 	2240 	10500 	6320 	3900 	2500 	1390 	1390 	1090
4 	687 	785 	982 	1720 	2210 	10600 	6310 	3830 	2500 	1420 	1330 	1030
5 	659 	775 	999 	1610 	2240 	10600 	6410 	3760 	2500 	1420 	1350 	970
6 	654 	764 	1040 	1670 	2410 	10300 	6400 	3690 	2600 	1430 	1600 	925
7 	655 	753 	1160 	1670 	2630 	9780 	6190 	3740 	2670 	1600 	1950 	880
8 	712 	738 	1250 	1700 	2810 	9360 	5870 	3790 	2660 	1810 	1960 	829
9 	713 	702 	1210 	1920 	3010 	9100 	5640 	3810 	2530 	2000 	1780 	782
10 	742 	707 	1130 	1990 	3090 	8960 	5570 	3750 	2390 	2020 	1580   	774
11 	827 	703 	1080 	2250 	3090 	8960 	5620 	3630 	2220 	1960 	1370   	762
12 	754 	687 	1130 	2320 	3080 	8690 	5640 	3630 	2090 	1850 	1170   	725
13 	736 	666 	1160 	2190 	3150 	8440 	5570 	3550 	1980 	1730 	1050   	752
14 	745 	653 	1130 	2050 	2960 	8370 	5510 	3470 	1910 	1620 	1020 	802
15 	739 	643 	1210 	1950 	2920 	8240 	5410 	3440 	1820 	1550 	1010 	853
16 	745 	633 	1220 	1790 	2950 	7870 	5300 	3420 	1720 	1480 	983 	878
17 	780 	608 	1190 	1830 	2860 	7670 	5280 	3340 	1630 	1410 	1000 	878
18 	1200 	580 	1190 	1690 	2800 	7960 	5090 	3230 	1550 	1310 	1100 	812
19 	1400 	566   	1180 	1660 	3020 	8290 	5090 	3080 	1490 	1320 	1230 	843
20 	1040 	561   	1170 	1820 	3480 	7990 	5080 	2930 	1440 	1300 	1480 	804
21 	933 	563   	1250 	1970 	3510 	7520 	4950 	2760 	1390 	1270 	1250 	821
22 	882 	571 	1310 	2460 	3810 	7220 	4880 	2690 	1350 	1240 	1140 	884
23 	856 	587 	1320 	2890 	4330 	7080 	4890 	2620 	1320 	1220 	1530 	971
24 	829 	1210 	1370 	3000 	4580 	6940 	4770 	2560 	1310 	1190 	1510 	996
25 	815 	1960 	1480 	2770 	4730 	6740 	4800 	2490 	1310 	1160 	1290 	967
26 	814 	1520 	1420 	2560 	5200 	6870 	4850 	2410 	1310 	1250 	1290 	954
27 	842 	1190 	1570 	2480 	5620 	7160 	4840 	2380 	1380 	1470 	1300 	931
28 	875 	1080 	1930 	2350 	5920 	7060 	4670 	2350 	1400 	1370 	1270 	948
29 	837 		1740 	2220 	6780 	6700 	4490 	2370 	1410 	1250 	1240 	1020
30 	829 		1810 	2300 	7890 	6430 	4340 	2370 	1430 	1250 	1190 	1030
31 	824 		1950 		9080 		4210 	2350 		1340 		980 
