1988 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	560   	600   	731 	889 	4330 	5860 	5730 	3570 	2510 	1310 	1470 	979
2 	530   	568   	746 	925 	4520 	5690 	5730 	3460 	2500 	1390 	1540 	981
3 	535   	549   	754 	997 	4500 	5580 	5690 	3340 	2480 	1760 	1660 	1010
4 	528   	540   	747 	961 	4240 	5470 	5440 	3240 	2410 	1810 	1590 	1030
5 	520   	545 	746 	968 	3930 	5290 	5120 	3150 	2320 	1720 	1820 	1030
6 	538   	561 	746 	1080 	3750 	5180 	4920 	3080 	2250 	1640 	2330 	1060
7 	556   	583 	743 	1120 	3670 	5120 	4760 	3020 	2260 	1560 	1970 	1090
8 	544 	606 	751 	1120 	3730 	5180 	4620 	3090 	2280 	1510 	1830 	1070
9 	522 	637 	778 	1110 	3870 	5340 	4530 	3200 	2310 	1470 	1790 	1020
10 	524 	561   	764 	1130 	3980 	5630 	4500 	3210 	2380 	1420 	1800 	1020
11 	535 	617 	757 	1150 	4290 	6040 	4490 	3120 	2360 	1400 	1740 	999
12 	541 	718 	756 	1160 	4860 	6300 	4460 	3280 	2250 	1380 	1690 	1080
13 	567 	745 	756 	1230 	5580 	6320 	4510 	3490 	2080 	1370 	1600 	1240
14 	659 	715 	760 	1330 	5900 	6340 	4530 	3480 	1930 	1450 	1510 	1060
15 	755 	731 	771 	1500 	6390 	6390 	4660 	3280 	1820 	1700 	1440 	1030
16 	704 	718 	789 	1730 	7240 	6340 	4720 	3090 	1750 	1750 	1400 	995
17 	699 	683 	787 	2030 	7650 	6210 	4620 	3010 	1700 	1560 	1360 	947
18 	699 	691 	785 	2470 	7330 	6210 	4430 	2920 	1670 	1540 	1330 	897
19 	696 	690 	787 	2950 	6830 	6340 	4240 	2850 	1680 	1560 	1310 	860
20 	695 	697 	825 	3570 	6520 	6450 	4070 	2830 	1670 	1630 	1280 	850
21 	693 	704 	843 	4050 	6210 	6560 	3930 	2820 	1610 	1570 	1270 	817
22 	694 	699 	838 	4390 	5980 	6620 	3830 	2870 	1530 	1540 	1270 	815
23 	700 	700 	871 	4430 	5780 	6420 	3760 	2910 	1480 	1510 	1280 	792
24 	692 	683 	876 	4330 	5510 	6070 	3760 	2890 	1450 	1510 	1220 	790
25 	689 	681 	879 	4260 	5670 	5930 	3820 	2780 	1430 	1530 	1200 	781
26 	678 	682 	937 	4370 	6150 	6020 	3830 	2660 	1380 	1580 	1160 	800
27 	669 	698 	959 	4370 	6340 	6050 	3770 	2600 	1370 	1590 	1110 	741
28 	679 	715 	946 	4290 	6370 	5900 	3750 	2560 	1330 	1520 	1060 	705
29 	729 	722 	908 	4230 	6050 	5730 	3710 	2540 	1290 	1500 	1000 	723
30 	713 		876 	4190 	5810 	5700 	3690 	2560 	1310 	1480 	975 	760
31 	659 		856 		5870 		3630 	2540 		1460 		725 
