1995 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	763 	1330 	735 	1070 	2760 	6040 	4690 	4380 	2450 	1350 	1770 	2750
2 	683 	1030 	731 	1110 	2880 	6440 	4560 	4160 	2380 	1320 	1640 	2260
3 	639 	895 	731 	1180 	2900 	6680 	4510 	4120 	2310 	1350 	1520 	2020
4 	745 	850 	734 	1370 	2850 	6660 	4480 	4100 	2230 	1330 	1440 	1900
5 	640   	811 	713 	1560 	2850 	6570 	4530 	4000 	2150 	1310 	1380 	1810
6 	580   	810 	675 	1790 	2980 	6460 	4570 	3910 	2120 	1270 	1330 	1730
7 	560   	850 	637 	2110 	3120 	6450 	4480 	3910 	2120 	1260 	1320 	1730
8 	600   	828 	630 	2120 	3190 	6650 	4360 	3970 	2120 	1260 	2580 	1660
9 	570   	794 	654 	2060 	3320 	6840 	4300 	3980 	2140 	1250 	2190 	1430  
10 	575   	778 	720 	1980 	3560 	6780 	4250 	3900 	2140 	1610 	1670 	1310  
11 	580   	786 	716 	2010 	3700 	6620 	4160 	3770 	2120 	1420 	1500 	1230  
12 	595   	765 	757 	2050 	3810 	6460 	4050 	3660 	2100 	1460 	1360 	1180
13 	627 	709 	729 	2070 	4040 	6290 	4030 	3520 	2060 	1610 	1250 	1520
14 	655 	648 	711 	2050 	4530 	6160 	4090 	3450 	2020 	1780 	2240 	1440
15 	677 	620 	723 	1960 	4990 	5990 	4070 	3480 	1990 	1750 	1970 	1410
16 	707 	632 	681 	1870 	5430 	5800 	3910 	3480 	1950 	1850 	1810 	1450
17 	722 	661 	692 	1800 	5740 	5590 	3740 	3520 	1890 	1860 	1670 	1510
18 	711 	675 	735 	1810 	6020 	5340 	3640 	3710 	1830 	1950 	2260 	1620
19 	714 	843 	741 	1780 	6120 	5080 	3560 	3650 	1760 	2090 	2050 	1630
20 	698 	932 	740 	1760 	6050 	4980 	3470 	3480 	1710 	2240 	1920 	1640
21 	685 	1190 	753 	1750 	5780 	5050 	3430 	3300 	1650 	2260 	2330 	1600
22 	664 	991 	777 	1770 	5430 	5180 	3380 	3220 	1590 	2150 	2480 	1540
23 	647 	893 	793 	1800 	5100 	5350 	3360 	3180 	1540 	2050 	2620 	1490
24 	620 	851 	830 	1870 	4870 	5480 	3360 	3080 	1480 	2030 	2730 	1470
25 	596   	859 	839 	2010 	4780 	5510 	3370 	2980 	1430 	1960 	2700 	1390
26 	575   	835 	870 	2160 	4760 	5450 	3500 	2950 	1380 	2000 	2430 	1300
27 	570   	804 	875 	2320 	4850 	5320 	3560 	2890 	1340 	1900 	2300 	1240
28 	589   	765 	867 	2510 	5060 	5250 	3750 	2840 	1340 	1910 	2550 	1230
29 	630   		928 	2590 	5270 	5110 	4280 	2800 	1340 	2150 	3970 	1250
30 	751 		974 	2650 	5460 	4880 	4730 	2680 	1350 	2080 	3520 	1250
31 	914 		1020 		5720 		4610 	2540 		1930 		1280 
