1983 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	737 	885 	1140 	1270 	3320 	6590 	4950 	4550 	2380 	1710 	2110 	1430
2 	742 	891 	1150 	1310 	3360 	7020 	5000 	4400 	2450 	1670 	2070 	1380
3 	851 	886 	1140 	1330 	3360 	7280 	5090 	4310 	2430 	1630 	2460 	1320
4 	899 	883 	1120 	1370 	3340 	7280 	5130 	4250 	2440 	1570 	2810 	1250
5 	923 	847 	1100 	1400 	3380 	7030 	5030 	4210 	2500 	1520 	2700 	1160
6 	898 	804 	1080 	1430 	3470 	6670 	4950 	4230 	2620 	1490 	2630 	1090
7 	996 	826 	1060 	1470 	3520 	6370 	4880 	4160 	2850 	1480 	2540 	1040
8 	1330 	799 	1050 	1540 	3530 	6120 	4740 	4010 	2870 	1510 	2440 	1000  
9 	1110 	794 	1240 	1710 	3570 	6110 	4630 	3900 	2750 	1530 	2300 	980  
10 	1430 	799 	1300 	1950 	3650 	6310 	4580 	3790 	2690 	1500 	2190 	950  
11 	1340 	849 	1260 	2020 	3700 	6120 	4570 	3720 	2680 	1460 	2210 	920  
12 	1200 	1010 	1220 	1860 	3650 	5990 	5030 	3670 	2500 	1410 	2130 	890  
13 	1140 	1050 	1210 	1730 	3560 	6160 	5010 	3710 	2300 	1370 	2020 	880  
14 	1090 	1020 	1230 	1630 	3510 	6110 	5420 	3690 	2180 	1330 	1930 	875  
15 	1050 	974 	1270 	1550 	3440 	5850 	5910 	3720 	2080 	1320 	2130 	880  
16 	1000 	940 	1300 	1520 	3410 	5590 	6400 	3630 	2020 	1290 	2320 	820  
17 	957 	992 	1340 	1520 	3440 	5480 	6460 	3560 	2020 	1280 	2110 	740  
18 	927 	1090 	1360 	1570 	3520 	5470 	6360 	3490 	2020 	1270 	2020 	710  
19 	917 	1050 	1370 	1670 	3630 	5420 	6110 	3460 	2060 	1280 	1980 	690  
20 	946 	1050 	1380 	1810 	3880 	5580 	5870 	3370 	2140 	1270 	1960 	660  
21 	968 	1040 	1380 	1990 	4160 	5810 	5590 	3290 	2110 	1250 	1930 	645  
22 	955 	1060 	1360 	2160 	4270 	6130 	5380 	3130 	2030 	1330 	1870 	640  
23 	938 	1090 	1340 	2340 	4420 	6440 	5290 	2940 	1930 	1310 	1790 	645  
24 	900 	1160 	1310 	2690 	4820 	6140 	5320 	2780 	1870 	1290 	1710 	660  
25 	822 	1160 	1280 	2940 	5070 	5800 	5250 	2610 	1810 	1310 	1640 	660  
26 	777 	1130 	1250 	3010 	5060 	5540 	5100 	2560 	1790 	1410 	1570 	665  
27 	827 	1140 	1230 	3090 	5160 	5480 	4970 	2510 	1770 	1510 	1520 	670  
28 	854 	1150 	1210 	3260 	5410 	5500 	4910 	2470 	1720 	1500 	1510 	700  
29 	874 		1200 	3310 	5820 	5350 	4880 	2430 	1680 	1540 	1500 	730  
30 	875 		1260 	3310 	6120 	5110 	4820 	2400 	1730 	1910 	1470 	755  
31 	868 		1250 		6300 		4680 	2380 		2230 		790   
