2009 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	1040 	805   	725 	781 	3190 	6090 	5280 	4040 	1780 	1560 	1390 	1730
2 	1040 	881   	756 	790 	3180 	6220 	5160 	3940 	1750 	1510 	1300 	1580
3 	1040 	886 	783 	794 	3230 	6420 	4910 	3840 	1750 	1470 	1570 	1480
4 	1000 	881 	799 	789 	3290 	6450 	4580 	3760 	1780 	1420 	1880 	1410
5 	968 	895 	798 	785 	3680 	6480 	4300 	3670 	1800 	1370 	1820 	1320
6 	1000 	903 	788 	783 	4030 	6600 	4070 	3690 	1850 	1340 	1990 	1210
7 	1240 	900 	774 	813 	4200 	6840 	4050 	3670 	1920 	1300 	1760 	1080
8 	1270 	891 	759 	850 	4350 	7220 	4140 	3500 	2010 	1270 	1600 	959
9 	1190 	889 	758 	898 	4510 	7410 	4340 	3330 	1990 	1230 	1510 	892
10 	1120 	878 	734 	926 	4500 	7180 	4710 	3190 	1930 	1230 	1520 	831
11 	1070 	880 	702 	978 	4480 	6810 	4980 	3030 	1920 	1240 	1480 	829
12 	1060 	878 	694 	1080 	4510 	6530 	4850 	2900 	1990 	1230 	1380 	822
13 	1070 	853 	710 	1240 	4480 	6420 	4660 	2850 	1930 	1180 	1350 	856
14 	1060 	859 	743 	1310 	4620 	6490 	4550 	2900 	1900 	1100 	1290 	913
15 	1060 	856 	748 	1510 	4670 	6670 	4520 	2920 	1810 	1060 	1250 	733
16 	1060 	843 	749 	1650 	4650 	6920 	4560 	2820 	1740 	1030 	1690 	684
17 	1050 	801 	733 	1870 	4610 	7070 	4510 	2640 	1690 	1200 	1940 	726
18 	1040 	795 	736 	2060 	4650 	7230 	4440 	2470 	1650 	1260 	1540 	728
19 	1040 	788 	745 	2250 	4730 	7370 	4250 	2340 	1660 	1150 	1430 	799
20 	1020 	774 	771 	2420 	4870 	7490 	4140 	2250 	1720 	1080 	1530 	918
21 	1010 	766 	801 	2640 	5230   	7430 	4150 	2190 	1760 	1020 	1520 	1040
22 	991   	763 	779 	3010 	5310 	7290 	4180 	2180 	1820 	1070 	1450 	961
23 	997 	765 	770 	3320 	5200 	6990 	4160 	2210 	1920 	1080 	1380 	904
24 	970 	791 	747 	3760 	5050 	6660 	4060 	2200 	1920 	1120 	1320 	874
25 	936 	814 	760 	3890 	5020 	6060 	3930 	2200 	1910 	1080 	1380 	807
26 	967   	774 	762 	3800 	5160 	5760 	3930 	2210 	1800 	1140 	1780 	776
27 	886 	738 	776 	3670 	5300 	5470 	3960 	2140 	1730 	1130 	1560 	758
28 	849 	708 	817 	3470 	5480 	5550 	3960 	2060 	1670 	1120 	1470 	745
29 	849 		819 	3350 	5910 	5680 	3990 	1910 	1650 	1090 	1510 	773
30 	874 		806 	3280 	6300 	5480 	4040 	1770 	1640 	1280 	1800 	779
31 	908   		782 		6250 		4070 	1730 		1590 		783 
