1992 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	1040 	1600 	1190 	2080 	4850 	6080 	5270 	3020 	1720 	2660 	2630 	1150
2 	1050 	1440 	1280 	2090 	4930 	6160 	5230 	2970 	1660 	2450 	2430 	1170
3 	1030 	1360 	1320 	2290 	5230 	6030 	5140 	2960 	1580 	2340 	2260 	1140
4 	1030 	1390 	1330 	2420 	5350 	6140 	4940 	2960 	1540 	2250 	2180 	1080
5 	1010 	1390 	1360 	2750 	5270 	6420 	4760 	2990 	1590 	2170 	2130 	1010
6 	976 	1400 	1400 	3250 	5200 	6390 	4570 	3010 	1630 	2100 	2030 	949
7 	958 	1380 	1430 	3380 	5340 	6070 	4340 	3080 	1630 	2120 	2070 	937
8 	926 	1360 	1430 	3220 	5520 	5750 	4180 	3070 	1580 	2110 	2070 	903
9 	889 	1350 	1450 	3010 	5590 	5570 	4110 	3050 	1530 	2020 	2010 	876
10 	970 	1320 	1480 	2830 	5670 	5530 	4070 	3030 	1460 	1880 	1950 	876
11 	1000 	1260 	1510 	2660 	5510 	5600 	4040 	2990 	1450 	1760 	1890 	896
12 	990 	1170 	1540 	2520 	5320 	5740 	3970 	2880 	1510 	1680 	1790 	855
13 	978 	1110 	1560 	2400 	5100 	6020 	3870 	2720 	1610 	1660 	1730 	848
14 	993 	1050 	1580 	2310 	4930 	6120 	3790 	2600 	1940 	1790 	1660 	896
15 	1060 	1030 	1630 	2250 	4640 	6110 	3720 	2510 	1850 	1830 	1610 	871
16 	1170 	1030 	1730 	2280 	4370 	6420 	3700 	2490 	1710 	1720 	1600 	876
17 	1130 	1040 	1900 	2550 	4230 	6670 	3710 	2560 	1580 	1580 	1620 	861
18 	1110 	1050 	2040 	2620 	4150 	6600 	3690 	2630 	1480 	1510 	1690 	855
19 	1070 	1050 	2140 	2790 	4090 	6420 	3570 	2650 	1390 	1510 	1750 	848
20 	1060 	1040 	2180 	3090 	4040 	6190 	3420 	2590 	1370 	1530 	1730 	711
21 	1070 	1020 	2170 	3280 	4020 	5960 	3360 	2470 	1360 	1680 	1660 	683
22 	1050 	1100 	2150 	3300 	4010 	5760 	3350 	2420 	1520 	1630 	1590 	730
23 	1090 	998 	2130 	3330 	3980 	5720 	3360 	2370 	2300 	1800 	1510 	764
24 	1250 	987 	2120 	3320 	3940 	5730 	3340 	2260 	3100 	2320 	1440 	836
25 	1170 	991 	2100 	3240 	3980 	5680 	3310 	2130 	3120 	2360 	1340 	811
26 	1120 	1010 	2110 	3170 	4090 	5570 	3300 	1990 	2950 	2510 	1230 	790
27 	1090 	1030 	2130 	3300 	4130 	5500 	3270 	1860 	3090 	3380 	1160 	735  
28 	1270 	1060 	2080 	3500 	4410 	5420 	3210 	1770 	3280 	3870 	1160 	700  
29 	1260 	1140 	2070 	4210 	5110 	5360 	3180 	1710 	3230 	3660 	1140 	640  
30 	1420 		2110 	4950 	5700 	5350 	3140 	1680 	2980 	3250 	1130 	590  
31 	1550 		2120 		5950 		3080 	1720 		2850 		570   
