1989 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	739 	868   	675 	738 	3630 	4640 	4980 	3100 	2470 	1450 	1360 	1440
2 	722 	680   	641   	751 	3790 	4980 	4720 	3170 	2360 	1430 	1320 	1440
3 	797 	598   	640   	758 	4130 	5330 	4510 	3240 	2300 	1420 	1360 	1710
4 	864 	579   	644 	749 	4430 	5730 	4430 	3280 	2250 	1460 	1540 	2420
5 	801 	610   	649 	810 	4540 	6240 	4430 	3410 	2210 	1440 	1420 	2100
6 	805 	638   	667 	887 	4700 	6580 	4440 	3740 	2150 	1370 	1850 	1840
7 	809 	638   	662 	984 	4920 	6640 	4330 	3890 	2100 	1320 	2390 	1720
8 	772 	640   	663 	956 	5150 	6840 	4250 	3690 	2070 	1240 	2510 	1730
9 	732 	658   	654 	960 	5480 	7000 	4120 	3480 	2050 	1220 	3080 	1660
10 	699 	678   	691 	969 	5830 	6890 	3990 	3390 	2020 	1240 	3550 	1580
11 	687 	689   	723 	1020 	5950 	6670 	3950 	3340 	1960 	1310 	2640 	1490
12 	702 	685   	727 	1080 	6050 	6670 	3970 	3300 	1890 	1370 	2250 	1400
13 	752 	690   	704 	1210 	6230 	6800 	3990 	3230 	1830 	1270 	2360 	1320
14 	772 	712   	686 	1350 	6200 	6810 	3970 	3150 	1780 	1320 	2520 	1250
15 	787 	720   	677 	1580 	5860 	6790 	3960 	3050 	1730 	1270 	2360 	1220
16 	816 	718   	669 	1660 	5470 	6780 	3990 	3030 	1700 	1270 	2140 	1230
17 	869 	704   	660 	1720 	5140 	6920 	4030 	2980 	1700 	1270 	1960 	1230
18 	842 	682   	659 	1860 	4950 	7110 	4140 	3000 	1680 	1280 	1840 	1230
19 	819 	681   	668 	1960 	4870 	6950 	4220 	2990 	1660 	1300 	1970 	1230
20 	818 	680   	666 	2060 	4940 	6480 	4220 	2960 	1620 	1240 	2130 	1170
21 	828 	682   	669 	2200 	5020 	5960 	4100 	2990 	1580 	1270 	2250 	1090
22 	807 	696   	679 	2310 	5010 	5560 	3970 	3000 	1530 	1370 	2370 	944
23 	777 	713   	678 	2670 	4770 	5240 	3850 	3030 	1660 	1480 	2390 	834
24 	742 	713 	680 	2900 	4500 	5060 	3760 	3100 	1700 	1630 	2160 	792
25 	726 	711 	686 	3100 	4230 	4960 	3710 	3150 	1690 	1570 	1950 	830
26 	716 	708 	695 	3090 	4050 	4910 	3560 	3230 	1610 	1540 	1810 	973
27 	754 	703 	714 	3090 	4020 	4910 	3410 	3190 	1550 	1530 	1710 	1010
28 	762 	695 	733 	3130 	4140 	4890 	3270 	3030 	1500 	1480 	1640 	1160
29 	796 		727 	3270 	4170 	4980 	3150 	2850 	1480 	1450 	1570 	1700
30 	1150 		726 	3450 	4230 	5130 	3080 	2700 	1470 	1440 	1500 	1910
31 	1130 		732 		4400 		3070 	2570 		1410 		2090 
