1996 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	1250 	770   	873 	1130 	3920 	5790 	6710 	5120 	2860 	1960 	2160 	1650
2 	1300 	800   	857 	1100 	3730 	5720 	6820 	5060 	2860   	2260 	2120 	1620
3 	1520 	850   	843 	1080 	3630 	5890 	6780 	5020 	2880   	2260 	1950 	1590
4 	1340 	920   	822 	1060 	3480 	6340 	6810 	4880 	2900   	2170 	1810 	1570
5 	1240 	990   	789 	1050 	3340 	6680 	6780 	4760 	3000   	2250 	1830 	1500
6 	1140 	970 	755 	1100 	3260 	7000 	6810 	4490 	2870   	2090 	1870 	1450
7 	1300 	958 	753 	1270 	3200 	7510 	7090 	4360 	2810   	2100 	1910 	1430
8 	1280 	978 	755 	1460 	3140 	8050 	7420 	4260 	2750   	2430 	1940 	1390
9 	1320 	983 	765 	1780 	3120 	8100 	7540 	4180 	2700   	2470 	2150 	1350
10 	1350 	916 	869 	2110 	3050 	7900 	7190 	4030 	2790   	2410 	2010 	1320
11 	1330 	880 	966 	2420 	2950 	7830 	6800 	3850 	2890   	2380 	1900 	1300  
12 	1300 	835   	958 	2950 	2850 	7720 	6700 	3730 	2980   	2360 	1940 	1270  
13 	1290 	872   	945 	3550 	2790 	7520 	6760 	3660 	3080   	2280 	2280 	1230  
14 	1320 	911 	932 	3690 	2860 	7340 	6690 	3640 	2980   	2250 	2400 	1200  
15 	1480 	924 	1050 	3780 	2930 	7150 	6520 	3670 	2870   	2280 	2380 	1160  
16 	1420 	935 	1120 	3880 	3080 	6840 	6410 	3690 	2760   	2190 	2370 	1130  
17 	1280 	936 	1170 	3900 	3380 	6600 	6320 	3660 	2650   	2130 	2330 	1100  
18 	1280 	1120 	1220 	3970 	3850 	6540 	6260 	3570 	2640   	2130 	2260 	1060  
19 	1200 	1170 	1300 	4080 	4190 	6490 	6130 	3510 	2670   	2140 	2160 	1050
20 	1110 	1080 	1360 	4200 	4360 	6450 	5980 	3510 	2700   	2060 	1950 	1040
21 	1010 	1040 	1740 	4280 	4510 	6350 	5890 	3520 	2600   	1970 	1700 	1040
22 	946   	1020 	1730 	4240 	4710 	6190 	5980 	3470 	2490   	1930 	1510 	1050
23 	890   	992 	1650 	4150 	4910 	6060 	6380 	3430 	2390   	1920 	1340 	1050
24 	830   	965 	1510 	4160 	4990 	6030 	6550 	3370 	2280   	1870 	1200 	1040
25 	790   	968 	1400 	4060 	5100 	6060 	6250 	3240 	2180 	1880 	1120 	1040
26 	750   	947 	1340 	4020 	5320 	6200 	5870 	3060 	2100 	1880 	1220 	1030  
27 	710   	935 	1300 	4410 	5560 	6410 	5610 	2950 	2010 	1880 	1300 	1020  
28 	675   	906 	1240 	4720 	5780 	6550 	5450 	2890 	1940 	1940 	1430 	1010  
29 	700   	887 	1220 	4520 	6040 	6580 	5370 	2860 	1870 	2090 	1540 	1000  
30 	720   		1190 	4200 	6160 	6610 	5310 	2850 	1830 	2070 	1650 	990  
31 	740   		1150 		6010 		5220 	2850 		2130 		980   
