1998 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	1300 	1030 	891 	1550 	3710 	6710 	4150 	3380 	1860 	1120 	1320 	927
2 	1270 	1010 	888 	1520 	4100 	6670 	4070 	3380 	1830 	1090 	1340 	902
3 	1190 	983 	886 	1480 	4490 	6520 	4020 	3370 	1810 	1070 	1350 	870
4 	1080 	955 	882 	1450 	4830 	6370 	4010 	3350 	1790 	1050 	1340 	833
5 	954 	936 	876 	1430 	5180 	6200 	4070 	3310 	1770 	1030 	1330 	800
6 	859 	924 	868 	1420 	5590 	5980 	4130 	3260 	1740 	1020 	1320 	763
7 	805 	913 	854 	1410 	5900 	5720 	4180 	3190 	1730 	1020 	1300 	726
8 	789 	907 	849 	1400 	6000 	5490 	4210 	3140 	1710 	1060 	1270 	730
9 	767   	910 	837 	1400 	6000 	5270 	4240 	3100 	1680 	1230 	1220 	746
10 	750   	913 	826 	1400 	5970 	5100 	4260 	3050 	1650 	1470 	1180 	754
11 	745   	904 	819 	1430 	5960 	4980 	4270 	3000 	1610 	1680 	1150 	766
12 	735   	894 	809 	1460 	5960 	4880 	4230 	2920 	1580 	1820 	1110 	773
13 	720   	906 	804 	1480 	5950 	4840 	4170 	2820 	1560 	1870 	1150 	1000
14 	730   	918 	804 	1490 	5930 	4820 	4090 	2720 	1530 	1830 	1200 	1450
15 	757   	922 	814 	1480 	5910 	4810 	4070 	2630 	1490 	1740 	1220 	1230
16 	776   	919 	852 	1470 	5930 	4780 	4090 	2560 	1450 	1620 	1300 	1090
17 	810 	912 	898 	1460 	6020 	4690 	4120 	2520 	1410 	1540 	1290 	1100
18 	870 	902 	944 	1460 	6100 	4580 	4110 	2490 	1390 	1530 	1230 	1060
19 	906 	897 	1000 	1460 	6120 	4520 	4030 	2480 	1360 	1510 	1180 	983
20 	937 	899 	1070 	1480 	6070 	4470 	3920 	2480 	1340 	1480 	1140 	868
21 	972 	900 	1140 	1530 	5960 	4400 	3840 	2460 	1320 	1480 	1170 	755
22 	990 	910 	1200 	1660 	5880 	4330 	3770 	2420 	1300 	1480 	1140 	665
23 	1000 	915 	1300 	1860 	5830 	4260 	3710 	2350 	1290 	1470 	1070 	636
24 	1060 	918 	1300 	2090 	5790 	4200 	3640 	2270 	1280 	1470 	1020 	618  
25 	1100 	918 	1310 	2210 	5780 	4150 	3560 	2200 	1260 	1460 	1020 	600  
26 	1110 	910 	1360 	2390 	5800 	4130 	3480 	2130 	1240 	1420 	1060 	610  
27 	1130 	900 	1430 	2830 	5880 	4150 	3420 	2080 	1200 	1380 	1080 	623  
28 	1120 	895 	1480 	3170 	6030 	4170 	3370 	2040 	1180 	1350 	1060 	655
29 	1090 		1520 	3320 	6150 	4190 	3360 	2000 	1160 	1330 	1010 	749
30 	1050 		1570 	3440 	6340 	4200 	3360 	1950 	1130 	1310 	951 	897
31 	1040 		1570 		6590 		3370 	1900 		1300 		815 
