1997 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	1030   	1080 	1020 	1410 	6130 	9990 	7350   	5710 	3200 	2490 	3300 	1760
2 	1120   	1030 	999 	1400 	6130 	10300 	7100   	5600 	3130 	2940 	3140 	1730
3 	1110   	985 	977 	1410 	6020 	10700 	6910   	5600 	3000 	2930 	3050 	1710
4 	1110   	944 	949 	1410 	5860 	11200 	6790   	5660 	2840 	3230 	3150 	1660
5 	1100   	914 	913 	1430 	5710 	11300 	6780   	5610 	2720 	3500 	3130 	1600
6 	1090   	899 	882 	1410 	5690 	11000 	6800   	5410 	2660 	3520 	3210 	1530
7 	1080   	889 	874 	1420 	5710 	10600 	6740   	5230 	2630 	3550 	3290 	1440
8 	1080   	888 	867 	1440 	5730 	10400 	6760   	5130 	2630 	3490 	3280 	1350
9 	1070   	886 	856 	1450 	5780 	10200 	7210   	5080 	2620 	3350 	3290 	1290
10 	1060   	876 	867 	1460 	5930 	9980 	7320   	5080 	2600 	3170 	3280 	1240
11 	1060   	856 	867 	1480 	6090 	9760 	7340   	5090 	2570 	2990 	3180 	1190
12 	1080 	839 	868 	1500 	6320 	9470 	7460   	5060 	2490 	2810 	3000 	1160
13 	1070 	821 	844 	1520 	6660 	9240 	7740   	4850 	2360 	2690 	2790 	1150
14 	1020 	812 	830 	1570 	7040 	9290 	7900   	4580 	2290 	2620 	2600 	1160
15 	984 	839 	800 	1620 	7540 	9610 	8430   	4420 	2280 	2550 	2440 	1200
16 	956 	877 	793 	1780 	8290 	9800 	9230   	4320 	2300 	2550 	2300 	1260
17 	953 	913 	788 	2160 	9310 	9880 	9220   	4270 	2300 	2710 	2210 	1400
18 	958 	946 	818 	2310 	9620 	10000 	8810   	4240 	2330 	3080 	2130 	1430
19 	1060 	940 	1350 	2500 	9920 	9840 	8290 	4170 	2340 	3820 	2040 	1380
20 	1160 	928 	1830 	2870 	10000 	9690 	7880 	4050 	2360 	4610 	1950 	1340
21 	1110 	929 	1440 	3430 	9690 	9640 	7470 	3870 	2410 	4740 	1910 	1290
22 	1060 	935 	1260 	3670 	9170 	9610 	7110 	3720 	2410 	4420 	1860 	1240
23 	1040 	968 	1190 	3940 	8510 	9380 	6840 	3610 	2360 	3990 	1830 	1200
24 	1010 	1010 	1180 	4070 	7960 	8960   	6710 	3530 	2290 	3630 	1860 	1160
25 	960   	1050 	1190 	4160 	7550 	8370   	6770 	3490 	2230 	3380 	1860 	1120
26 	940   	1080 	1350 	4260 	7350 	8180   	6970 	3500 	2190 	3220 	1820 	1080
27 	930   	1070 	1370 	4490 	7290 	7980   	6990 	3500 	2260 	3100 	1770 	1060
28 	920   	1060 	1370 	4810 	7390 	7800   	6870 	3490 	2280 	2980 	1820 	1060
29 	950   		1400 	5240 	7790 	7700   	6600 	3400 	2250 	2940 	1900 	1140
30 	1040   		1380 	5840 	8050   	7580   	6250 	3280 	2250 	3120 	1820 	1320
31 	1190 		1400 		9770   		5920 	3220 		3320 		1320 
