Water Year,area,Km^3,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jervis,5785,9.06,0.61,0.81,0.90,0.92,0.58,1.09,0.83,0.40,0.50,0.32,0.89,1.23
Knight,19437,35.70,1.27,0.90,1.65,2.91,2.42,6.23,6.15,4.41,4.41,1.73,1.94,1.69
Nass,55242,99.91,6.49,6.68,6.51,9.80,8.23,15.07,10.57,7.26,7.40,7.72,7.12,7.07
Puget,17080,19.63,2.45,2.48,2.17,1.84,1.01,2.12,1.97,0.91,1.02,0.27,0.85,2.54
HG_Dixon,4551,8.25,1.11,1.14,0.94,0.85,0.24,0.25,0.18,0.17,0.37,0.76,1.08,1.17
HG_East,4248,17.40,2.01,1.61,1.70,1.45,1.12,0.69,0.40,0.42,0.99,2.55,2.15,2.31
HG_West,3245,11.05,1.36,1.46,1.44,1.21,0.38,0.41,0.30,0.28,0.59,0.90,1.24,1.46
Skagit,15467,34.08,4.08,3.56,3.24,2.97,2.93,4.22,3.18,1.48,1.47,1.02,2.09,3.84
Skeena,56272,51.61,1.46,1.40,1.45,3.15,8.27,12.95,8.01,3.54,3.08,3.59,2.94,1.77
Stikine,75670,97.29,6.50,7.28,6.87,5.93,5.55,11.27,10.84,7.41,13.44,6.60,6.14,9.49
Toba,3892,8.30,0.23,0.45,0.42,1.02,0.60,1.30,0.99,0.48,1.21,0.40,0.52,0.68
WC,15882,37.42,5.68,6.08,5.30,3.90,0.70,0.88,1.58,0.28,1.39,0.74,3.38,7.51
WVI,16932,45.20,4.84,5.16,6.55,5.02,2.03,3.55,2.66,0.68,2.55,1.31,4.49,6.35
Columbia,685292,229.09,24.88,21.60,24.37,30.19,24.52,23.16,15.92,11.94,10.75,8.64,11.51,21.62
Bute,9740,16.44,0.69,0.34,0.42,0.36,1.12,2.85,3.24,2.78,2.11,1.22,0.73,0.57
Caamano,30858,77.75,7.22,2.33,4.33,3.68,7.88,8.80,7.31,3.93,10.27,10.50,4.79,6.68
EVI_N,9709,19.45,2.83,1.27,1.46,1.29,1.61,1.46,0.78,0.35,0.59,2.14,2.96,2.72
EVI_S,6510,9.56,1.60,0.52,0.85,0.39,0.73,0.47,0.29,0.07,0.10,0.63,1.44,2.48
Fraser,235396,101.18,3.86,3.42,4.21,5.04,14.09,19.42,14.22,9.02,7.71,7.76,7.41,5.04
Hakai,32520,47.22,2.92,1.18,1.85,2.11,4.93,7.36,6.16,4.13,6.65,4.78,2.04,3.12
Howe,6234,16.54,0.82,0.50,0.71,0.57,1.89,2.76,2.20,1.71,1.10,1.52,1.52,1.23
JdF,5356,11.63,2.10,0.76,0.90,0.46,0.79,0.46,0.14,0.05,0.15,1.07,2.12,2.63
Jervis,5785,8.74,1.06,0.39,0.68,0.29,0.74,0.93,0.73,0.40,0.29,0.81,1.21,1.21
Knight,19437,35.46,2.05,0.67,1.15,1.40,3.26,6.02,5.69,4.37,4.59,3.27,1.54,1.47
Nass,55242,94.66,7.23,3.51,5.05,3.94,11.61,12.98,8.92,5.82,10.44,12.35,6.03,6.75
Puget,17080,12.78,1.22,0.56,0.76,0.60,1.15,1.67,0.39,0.30,0.75,0.92,1.89,2.56
HG_Dixon,4551,8.68,1.50,0.49,0.83,0.29,0.56,0.39,0.22,0.11,0.65,1.45,0.90,1.29
HG_East,4248,17.28,2.04,1.39,1.70,1.71,1.14,0.66,0.39,0.40,0.90,2.30,2.14,2.50
HG_West,3245,11.72,1.86,0.51,1.12,0.40,0.87,0.78,0.38,0.17,0.93,1.90,1.09,1.73
Skagit,15467,25.41,2.25,1.30,1.59,1.48,2.42,2.90,1.52,0.96,1.29,1.96,3.79,3.94
Skeena,56272,48.59,1.93,0.90,1.26,1.54,8.70,11.76,6.86,3.12,4.67,4.47,1.74,1.64
Stikine,75670,88.68,6.28,3.54,4.25,2.61,6.64,9.18,7.81,5.53,13.20,12.97,7.61,9.06
Toba,3892,7.88,0.48,0.25,0.30,0.31,0.76,1.23,0.85,0.52,1.03,1.06,0.58,0.51
WC,15882,33.24,5.42,1.94,2.77,1.15,2.40,2.40,0.44,0.23,0.87,2.31,6.01,7.30
WVI,16932,51.90,8.06,3.00,3.94,2.27,6.00,4.46,3.22,0.67,1.56,4.63,5.54,8.55
Columbia,685292,190.59,17.57,13.04,16.29,20.51,20.26,19.80,13.08,10.84,10.08,10.92,15.79,22.40
Bute,9740,17.62,0.64,0.48,0.74,0.32,1.90,2.36,3.70,2.84,1.96,0.77,0.81,1.12
Caamano,30858,85.49,6.84,5.01,3.17,5.41,9.30,9.22,7.38,4.03,7.37,11.99,7.11,8.65
EVI_N,9709,20.77,2.66,1.93,1.95,1.62,2.01,1.34,0.98,0.32,0.36,1.56,3.05,2.99
EVI_S,6510,12.16,2.10,1.89,1.95,1.03,0.66,0.38,0.47,0.05,0.04,0.19,1.33,2.05
Fraser,235396,115.65,6.03,4.40,5.86,6.55,18.62,21.25,20.16,8.95,6.08,5.40,6.44,5.89
Hakai,32520,49.85,3.58,2.22,1.72,2.34,6.29,7.17,6.96,4.29,4.17,4.85,2.36,3.90
Howe,6234,20.08,1.07,0.82,1.32,1.39,3.15,2.43,3.28,1.98,1.21,0.65,1.35,1.43
JdF,5356,15.42,3.27,2.36,2.16,1.14,0.98,0.33,0.28,0.04,0.09,0.32,1.70,2.76
Jervis,5785,10.46,1.24,0.82,1.28,0.70,1.05,0.87,1.01,0.40,0.24,0.33,1.13,1.40
Knight,19437,37.24,2.03,1.00,1.56,1.22,4.92,4.95,6.69,4.50,3.78,2.24,2.04,2.32
Nass,55242,101.78,7.10,6.48,5.04,6.36,10.92,13.06,11.10,5.06,5.19,14.68,6.70,10.08
Puget,17080,17.88,2.87,1.78,1.89,1.71,1.65,1.49,2.06,0.27,0.20,0.30,1.33,2.32
HG_Dixon,4551,9.57,1.13,0.89,0.83,0.56,0.46,0.28,0.13,0.07,0.28,1.80,1.02,2.13
HG_East,4248,17.19,2.08,1.84,1.47,1.54,1.12,0.67,0.54,0.39,1.01,2.11,2.32,2.09
HG_West,3245,12.14,1.43,1.00,1.19,0.87,0.74,0.49,0.22,0.10,0.36,2.07,1.13,2.54
Skagit,15467,33.31,4.64,2.78,2.96,3.03,3.49,3.47,3.46,1.10,0.80,1.03,2.84,3.72
Skeena,56272,49.90,1.65,1.36,1.08,2.11,8.43,11.37,7.54,2.68,3.06,6.01,2.14,2.45
Stikine,75670,94.71,7.88,6.60,5.81,4.55,7.89,10.39,11.50,5.66,7.19,9.55,7.09,10.61
Toba,3892,8.66,0.47,0.46,0.61,0.45,1.24,0.87,1.15,0.51,0.97,0.46,0.60,0.86
WC,15882,40.23,7.58,5.30,5.67,3.13,3.15,1.44,1.56,0.22,0.34,0.77,4.39,6.66
WVI,16932,59.66,7.75,8.03,6.35,4.34,5.88,3.69,4.52,0.59,0.99,1.89,6.61,9.02
