1982 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	5.93 	25.7 	70.9 	6.49 	9.58 	15.7 	6.49 	1.62 	0.556 	0.525 	13.5 	25.9
2 	5.71 	19.2 	59.8 	6.61 	12.1 	13.6 	5.48 	1.62 	0.525 	0.556 	10.4 	19.2
3 	5.26 	16.6 	36.1 	8.91 	10.9 	13.3 	10.1 	1.70 	0.494 	0.556 	8.29 	197
4 	4.31 	14.7 	25.4 	10.1 	9.07 	10.8 	9.07 	1.53 	0.525 	0.556 	24.3 	83.2
5 	3.91 	12.6 	19.6 	8.91 	8.91 	10.6 	6.49 	1.35 	0.525 	0.556 	24.3 	36.7
6 	3.05 	10.8 	15.3 	7.73 	10.3 	10.8 	5.37 	1.27 	0.525 	0.738 	22.1 	22.8
7 	4.38 	9.24 	12.4 	7.05 	13.6 	10.4 	4.62 	1.18 	0.525 	6.16 	16.0 	19.6
8 	4.38 	8.06 	11.1 	6.27 	13.8 	11.8 	4.15 	1.09 	0.525 	3.44 	19.8 	11.8
9 	5.71 	7.17 	10.1 	6.05 	13.3 	13.1 	3.83 	1.09 	0.694 	2.49 	14.2 	9.58
10 	5.26 	6.72 	9.75 	6.16 	13.6 	13.8 	3.52 	1.13 	1.22 	2.06 	10.8 	7.95
11 	6.16 	6.38 	9.24 	6.38 	16.6 	15.5 	3.52 	1.40 	1.09 	1.84 	8.40 	7.05
12 	6.05 	6.72 	8.18 	8.40 	14.4 	16.6 	3.52 	1.40 	1.35 	1.66 	7.28 	10.6
13 	5.82 	46.9 	8.06 	20.0 	16.2 	16.8 	3.36 	1.22 	1.22 	1.53 	6.49 	10.9
14 	6.38 	50.3 	7.39 	16.2 	15.1 	14.7 	3.20 	1.22 	1.09 	1.40 	5.71 	9.41
15 	7.73 	78.1 	6.94 	13.8 	14.9 	13.0 	2.97 	1.22 	1.00 	1.31 	4.92 	46.6
16 	10.3 	92.3 	6.38 	13.3 	15.3 	13.5 	2.65 	1.13 	0.870 	1.18 	5.26 	188
17 	20.0 	84.8 	5.93 	16.8 	18.5 	13.1 	2.49 	1.09 	0.826 	1.88 	10.6 	90.0
18 	9.41 	44.3 	5.60 	13.5 	14.9 	14.2 	2.49 	1.00 	0.694 	1.62 	9.41 	66.5
19 	13.6 	85.6 	5.15 	10.6 	12.4 	14.4 	2.49 	0.914 	0.650 	1.48 	8.06 	141
20 	11.4 	94.1 	4.92 	8.91 	11.3 	14.4 	2.49 	0.870 	0.619 	1.31 	7.05 	55.0
21 	9.58 	55.4 	4.62 	8.57 	12.4 	13.1 	2.18 	0.782 	0.619 	1.31 	6.05 	30.0
22 	8.06 	33.3 	4.54 	10.1 	16.4 	10.4 	2.18 	0.738 	0.619 	53.0 	5.26 	23.8
23 	7.50 	22.8 	4.62 	14.7 	16.0 	9.24 	2.06 	0.694 	0.587 	38.2 	4.54 	18.7
24 	65.7 	17.2 	4.81 	11.8 	14.2 	7.95 	1.92 	0.650 	0.556 	163 	4.23 	14.0
25 	34.0 	18.7 	4.81 	10.4 	18.1 	7.50 	1.79 	0.619 	0.556 	108 	3.91 	20.0
26 	103 	21.9 	7.39 	9.92 	13.8 	7.05 	1.70 	0.619 	0.587 	81.2 	3.91 	22.6
27 	54.2 	21.4 	7.17 	10.6 	13.8 	10.6 	1.70 	0.587 	0.556 	60.2 	12.4 	15.7
28 	30.0 	16.8 	7.17 	10.9 	14.0 	8.74 	1.70 	0.587 	0.525 	91.4 	26.6 	11.9
29 	20.7 		6.72 	11.4 	14.9 	7.39 	1.70 	0.556 	0.587 	40.3 	27.1 	9.41
30 	24.0 		6.49 	9.58 	16.0 	7.17 	1.70 	0.587 	0.525 	22.8 	22.3 	7.95
31 	41.8 		6.61 		17.7 		1.70 	0.587 		15.1 		6.94 
