1981 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	26.5 	8.04 	15.2 	21.8 	15.9 	4.93 	3.54 	0.909 	0.814 	20.6 	98.3 	31.0
2 	20.4 	7.52 	13.3 	16.1 	15.9 	4.56 	3.17 	0.877 	2.05 	25.3 	48.2 	60.8
3 	15.9 	6.86 	12.0 	14.1 	15.2 	4.38 	2.79 	0.846 	1.63 	14.1 	30.7 	34.5
4 	12.7 	6.51 	11.2 	11.6 	13.5 	4.93 	2.64 	0.846 	1.34 	9.35 	22.5 	25.5
5 	10.8 	6.16 	9.72 	31.3 	11.6 	4.75 	2.52 	0.846 	1.10 	6.95 	16.6 	310
6 	9.62 	5.81 	8.62 	27.2 	10.6 	7.69 	2.34 	0.814 	0.973 	38.9 	13.1 	74.4
7 	8.70 	5.55 	7.69 	19.6 	12.0 	5.40 	2.29 	0.782 	0.941 	46.0 	10.6 	48.8
8 	7.91 	5.28 	8.06 	15.4 	14.6 	5.40 	2.11 	0.782 	0.877 	43.3 	8.98 	55.6
9 	9.62 	5.11 	7.14 	13.1 	12.9 	4.93 	1.99 	0.750 	0.814 	31.8 	7.32 	38.1
10 	13.4 	4.67 	6.26 	11.6 	11.4 	4.84 	1.99 	0.686 	0.782 	20.1 	6.11 	66.3
11 	10.7 	3.79 	5.97 	12.9 	10.5 	4.93 	2.11 	0.655 	0.750 	14.1 	47.5 	49.4
12 	9.23 	4.43 	5.69 	12.7 	9.35 	5.54 	1.99 	0.591 	0.655 	10.6 	75.2 	33.7
13 	8.44 	4.93 	5.21 	11.8 	8.25 	5.12 	1.81 	0.591 	0.591 	8.25 	50.6 	24.0
14 	7.52 	38.1 	5.12 	11.6 	8.25 	4.75 	1.75 	0.559 	0.591 	6.58 	51.5 	23.0
15 	6.86 	90.5 	4.93 	12.2 	8.06 	4.28 	1.69 	0.559 	0.591 	5.40 	90.9 	23.5
16 	6.25 	118 	5.54 	29.9 	6.95 	4.19 	1.51 	0.527 	0.527 	4.84 	73.3 	21.6
17 	5.90 	80.9 	5.12 	21.8 	5.97 	3.91 	1.51 	0.527 	0.496 	4.28 	44.8 	17.9
18 	24.0 	99.1 	4.75 	16.9 	5.69 	3.72 	1.46 	0.496 	0.464 	4.00 	37.8 	17.9
19 	45.9 	191 	4.56 	14.6 	6.58 	6.58 	1.40 	0.496 	0.559 	3.63 	32.6 	164
20 	29.9 	77.0 	4.19 	13.7 	7.32 	5.97 	1.40 	0.496 	0.655 	3.35 	43.9 	70.4
21 	97.7 	44.2 	4.10 	12.2 	7.14 	5.69 	1.40 	0.496 	1.04 	3.07 	80.5 	40.3
22 	61.9 	32.4 	4.38 	13.7 	6.11 	5.12 	1.28 	0.496 	11.0 	2.70 	81.7 	26.9
23 	35.9 	24.5 	5.31 	27.2 	5.40 	6.11 	1.28 	0.464 	5.69 	2.52 	61.9 	20.8
24 	23.6 	23.5 	6.58 	32.6 	5.97 	5.97 	1.16 	0.559 	4.28 	2.40 	38.4 	17.4
25 	16.8 	19.6 	7.69 	19.1 	16.9 	5.03 	1.10 	0.686 	3.63 	2.29 	27.2 	14.3
26 	14.7 	20.1 	10.1 	13.9 	11.4 	4.47 	1.04 	0.591 	3.07 	2.23 	22.3 	12.7
27 	12.7 	18.4 	7.88 	10.8 	8.62 	4.19 	1.00 	0.559 	2.79 	4.10 	17.6 	10.8
28 	12.1 	17.4 	6.77 	16.9 	6.64 	3.72 	0.973 	0.527 	15.9 	72.9 	13.9 	9.54
29 	11.0 		9.17 	15.6 	5.97 	3.72 	0.973 	0.718 	12.5 	35.4 	11.8 	8.25
30 	9.75 		12.9 	15.9 	6.26 	3.54 	0.973 	0.623 	8.06 	22.0 	10.1 	7.51
31 	8.70 		18.1 		5.54 		0.973 	0.718 		197 		6.40 
