1999 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	30.9 	30.1 	43.8 	14.5 	19.8 	27.3 	13.4 	6.07 	2.88 	1.24 	15.9 	22.3
2 	21.9 	66.6 	33.2 	13.0 	20.7 	17.9 	11.7 	5.84 	2.70 	1.18 	10.3 	75.0
3 	17.1 	47.5 	35.1 	12.2 	19.2 	17.5 	12.7 	6.23 	2.59 	1.09 	9.40 	39.5
4 	14.2 	32.8 	33.9 	11.1 	16.2 	22.4 	13.4 	6.46 	2.52 	1.05 	15.1 	23.6
5 	12.3 	29.4 	24.3 	10.3 	13.8 	29.0 	11.6 	6.21 	2.62 	0.963 	10.9 	21.1
6 	11.2 	47.7 	19.4 	9.56 	14.0 	20.1 	12.5 	6.00 	2.98 	0.989 	52.9 	56.7
7 	10.3 	39.4 	16.3 	9.91 	18.8 	14.7 	14.8 	6.18 	2.83 	0.902 	90.6 	30.7
8 	9.42 	27.4 	14.4 	12.5 	15.3 	12.1 	13.3 	5.61 	2.64 	1.17 	64.4 	21.0
9 	13.2 	20.9 	13.5 	12.0 	13.0 	11.8 	12.5 	5.00 	2.51 	1.21 	119 	30.1
10 	19.8 	16.8 	12.5 	11.1 	11.5 	10.9 	13.8 	4.76 	2.39 	1.07 	76.5 	22.6
11 	27.9 	15.4 	12.0 	10.2 	11.4 	12.0 	12.8 	4.46 	2.30 	0.928 	85.2 	18.4
12 	23.8 	22.5 	12.1 	11.8 	13.1 	17.4 	12.6 	4.45 	2.20 	0.891 	71.7 	57.3
13 	23.1 	50.3 	20.5 	14.3 	13.7 	25.2 	12.1 	4.13 	2.11 	3.64 	33.9 	41.5
14 	194 	33.0 	28.1 	13.6 	13.6 	26.6 	10.5 	3.83 	2.06 	3.12 	25.0 	24.2
15 	83.2 	22.9 	22.7 	13.6 	13.5 	29.8 	8.90 	3.77 	2.03 	2.22 	20.6 	55.3
16 	45.7 	38.5 	18.6 	16.9 	15.9 	26.9 	9.82 	3.63 	1.99 	1.79 	26.3 	53.6
17 	32.8 	49.1 	15.7 	24.0 	17.5 	22.8 	10.5 	3.37 	1.92 	1.49 	21.7 	37.0
18 	49.2 	33.3 	14.0 	28.1 	20.4 	21.4 	9.99 	3.35 	1.86 	1.32 	16.2 	46.2
19 	64.8 	24.1 	12.8 	26.3 	21.4 	19.0 	9.64 	3.82 	1.77 	1.21 	19.1 	27.5
20 	41.0 	19.4 	13.3 	24.9 	18.3 	15.8 	10.1 	3.70 	1.73 	1.13 	37.3 	19.6
21 	31.3 	19.9 	18.1 	21.8 	17.7 	15.4 	9.91 	3.58 	1.65 	1.06 	21.8 	15.8
22 	25.0 	40.1 	27.0 	19.7 	18.6 	14.3 	9.35 	3.50 	1.54 	1.03 	16.2 	13.4
23 	20.6 	41.5 	31.8 	21.1 	26.9 	14.2 	9.00 	3.30 	1.53 	0.996 	13.2 	12.2
24 	17.0 	90.1 	29.9 	26.9 	39.6 	15.5 	8.68 	3.28 	1.46 	1.15 	25.5 	11.0
25 	14.6 	74.8 	27.3 	35.9 	38.8 	15.2 	8.16 	4.56 	2.06 	1.18 	27.2 	9.98
26 	13.0 	45.6 	22.9 	27.8 	25.0 	14.6 	6.99 	4.12 	2.10 	1.33 	18.4 	9.13
27 	13.2 	33.2 	18.6 	20.5 	21.6 	12.2 	7.03 	3.50 	1.78 	1.44 	14.2 	9.04
28 	18.3 	48.1 	15.9 	16.8 	20.9 	11.8 	7.83 	3.28 	1.61 	18.6 	16.4 	8.93
29 	145 		17.6 	16.2 	19.8 	12.8 	8.42 	3.42 	1.48 	20.9 	16.6 	8.07
30 	70.0 		20.9 	17.8 	19.5 	13.4 	7.18 	3.37 	1.37 	42.2 	28.1 	7.04
31 	36.6 		17.3 		26.6 		6.25 	3.09 		32.4 		6.39 
