1996 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	21.3 	4.20   	7.35 	5.33   	10.5 	5.04 	1.85 	0.516 	0.233 	0.421 	8.24 	54.6
2 	23.3 	4.38 	6.85 	5.56   	9.25 	5.34 	1.81 	0.524 	0.236 	0.410 	6.87 	29.0
3 	28.9 	4.23 	7.13 	5.11 	8.52 	5.87 	1.89 	0.490 	0.298 	0.452 	6.19 	16.6
4 	21.8 	4.86 	8.23 	5.16 	8.16 	5.89 	1.82 	0.483 	0.320 	3.84 	6.76 	15.3
5 	18.1 	43.7 	7.92 	6.18 	7.19 	5.40 	1.71 	0.544 	0.326 	4.49 	5.99 	17.6
6 	36.7 	77.2 	7.42 	28.1 	6.39 	4.91 	1.50 	0.466 	0.339 	2.89 	6.47 	14.8
7 	61.2 	64.6 	7.87 	23.9 	5.91 	4.65 	1.42 	0.467 	0.348 	2.07 	6.49 	16.4
8 	62.9 	49.7 	9.67 	16.8 	6.17 	4.21 	1.40 	0.428 	0.322 	1.70 	32.1 	16.1
9 	70.5 	36.2 	18.3 	14.2 	6.10 	3.98 	1.44 	0.384 	0.394 	1.49 	30.0 	14.5
10 	49.6 	22.9 	29.9 	13.4 	5.74 	3.79 	1.41 	0.348 	0.407 	1.37 	15.3 	14.6
11 	54.7 	14.9 	32.3 	11.2 	5.59 	4.14 	1.29 	0.339 	0.400 	1.39 	12.9 	14.6
12 	39.0 	14.0 	21.9 	11.3 	5.27 	3.97 	1.17 	0.307 	0.353 	1.59 	14.0 	14.0
13 	32.1 	12.5 	14.6 	10.5 	8.22 	3.64 	1.11 	0.295 	0.416 	4.75 	16.9 	13.3
14 	46.8 	11.3 	14.1 	9.19 	9.69 	3.39 	1.09 	0.290 	0.529 	7.07 	13.7 	12.2
15 	102 	10.6 	14.1 	12.4 	8.17 	3.22 	1.07 	0.277 	0.744 	7.97 	11.5 	10.7
16 	56.3 	10.2 	12.6 	16.2 	6.86 	2.92 	0.973 	0.272 	0.835 	5.27 	9.90 	9.61
17 	30.0 	14.6 	11.0 	24.6 	6.58 	2.66 	0.973 	0.256 	0.758 	5.07 	8.62 	8.58
18 	17.9 	111 	9.69 	15.4 	12.4 	2.41 	1.02 	0.266 	0.691 	12.7 	7.59 	7.90
19 	14.3 	69.9 	10.6 	14.1 	11.5 	2.21 	1.01 	0.273 	0.711 	10.7 	6.87 	7.67
20 	13.4 	44.3 	13.3 	12.8 	10.2 	2.04 	1.05 	0.272 	0.621 	7.39 	5.99 	8.60
21 	11.8 	39.9 	12.4 	10.5 	9.22 	1.98 	1.07 	0.253 	0.650 	12.7 	5.38 	8.83
22 	10.2 	27.4 	11.2   	10.0 	9.50 	2.01 	1.09 	0.265 	0.710 	19.7 	5.00 	8.61
23 	9.33 	18.7 	9.99   	16.7 	11.8 	2.07 	1.02 	0.248 	0.673 	15.1 	4.54 	7.98
24 	8.61 	14.5 	8.97   	34.7 	10.5 	2.39 	0.952 	0.255 	0.586 	23.9 	4.48 	7.16
25 	7.97 	13.6 	8.02   	30.3 	9.57 	2.67 	0.878 	0.243 	0.541 	14.0 	4.50 	6.70
26 	7.34 	11.6 	7.28   	31.0 	8.88 	2.78 	0.803 	0.229 	0.531 	10.7 	4.77 	5.93
27 	6.77 	10.3 	6.59   	21.7 	7.52 	2.42 	0.711 	0.232 	0.518 	8.61 	8.73 	5.77
28 	6.17 	9.04 	5.99   	14.6 	6.94 	2.20 	0.712 	0.208 	0.456 	23.5 	33.2 	5.08
29 	5.56 	8.04 	5.53   	13.9 	6.19 	2.07 	0.647 	0.218 	0.495 	21.2 	19.2 	8.80
30 	4.10   		5.23   	12.3 	5.73 	1.91 	0.597 	0.228 	0.447 	13.8 	22.2 	10.9
31 	3.90   		4.98   		5.30 		0.551 	0.241 		10.6 		32.6 
