1993 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	3.97   	19.5 	2.51   	7.95 	12.7 	9.66 	2.20 	0.903 	0.363 	0.151 	1.34 	13.8
2 	3.54   	17.4 	2.97   	8.44 	12.9 	9.97 	2.21 	0.854 	0.340 	0.155 	1.26 	14.8
3 	3.42   	16.5 	9.65   	8.62 	12.1 	8.85 	2.01 	0.842 	0.314 	0.154 	3.73 	43.2
4 	2.98   	16.2 	13.7   	8.64 	11.2 	8.44 	1.85 	0.820 	0.331 	0.180 	3.54 	57.1
5 	2.85   	21.9 	42.0   	7.99 	10.8 	7.94 	1.77 	0.733 	0.338 	0.193 	2.67 	22.0
6 	2.62   	31.0 	34.1   	7.85 	12.5 	7.05 	1.68 	0.648 	0.308 	0.196 	2.06 	14.7
7 	2.53   	27.0 	32.5   	7.89 	11.9 	6.60 	1.60 	0.567 	0.264 	0.216 	1.94 	12.0
8 	2.49   	21.2 	16.2   	15.6 	11.3 	5.99 	1.55 	0.527 	0.321 	0.213 	1.73 	12.0
9 	2.45   	17.5 	14.7   	19.7 	9.95 	8.77 	1.52 	0.541 	0.312 	0.220 	1.69 	39.7
10 	2.21 	17.1 	12.8 	16.1 	11.5 	13.1 	1.47 	0.528 	0.285 	0.247 	1.52 	169
11 	2.24 	14.4 	10.6 	13.6 	15.9 	10.5 	1.37 	0.555 	0.243 	0.243 	1.46 	59.3
12 	2.18 	12.2 	9.61 	11.8 	16.2 	8.41 	1.31 	0.587 	0.221 	0.255 	1.36 	34.6
13 	2.35 	9.84 	8.46 	10.1 	15.4 	7.35 	1.34 	0.655 	0.235 	0.269 	1.36 	86.2
14 	2.05 	8.75 	8.05 	9.07 	13.2 	6.90 	1.28 	0.579 	0.213 	0.313 	1.29 	55.7
15 	2.36 	8.31   	8.75 	8.18 	11.2 	7.00 	1.34 	0.470 	0.245 	0.374 	2.90 	27.0
16 	2.07 	6.20   	7.94 	8.68 	9.61 	6.96 	1.29 	0.517 	0.245 	0.375 	4.43 	18.4
17 	1.85 	5.72   	8.90 	12.9 	9.11 	6.41 	1.24 	0.580 	0.223 	0.305 	3.55 	14.3
18 	1.62 	5.11   	12.6 	16.4 	9.34 	5.50 	1.19 	0.467 	0.233 	0.301 	2.93 	11.8
19 	2.00 	4.48   	11.6 	13.8 	9.62 	5.00 	1.24 	0.413 	0.214 	0.330 	2.59 	10.3
20 	3.71 	4.03   	15.0 	12.4 	11.2 	4.40 	1.19 	0.387 	0.172 	0.297 	2.35 	9.12
21 	5.49 	3.99   	39.6 	11.4 	13.2 	4.02 	1.20 	0.367 	0.196 	0.356 	7.07 	8.03
22 	5.07 	3.67   	130 	12.7 	13.7 	3.74 	1.11 	0.340 	0.241 	0.790 	5.81 	7.09
23 	4.74   	3.32   	90.0 	12.1 	11.5 	3.43 	1.10 	0.287 	0.225 	3.33 	4.44 	6.39
24 	22.5   	2.77   	41.5 	11.8 	9.86 	3.18 	1.01 	0.319 	0.220 	9.54 	3.62 	5.80
25 	47.1   	2.68   	23.5 	19.7 	8.84 	3.02 	1.01 	0.299 	0.235 	4.47 	3.35 	5.35
26 	63.5   	2.53   	17.1 	47.2 	7.99 	2.76 	1.00 	0.271 	0.223 	2.81 	3.06 	4.76
27 	56.4   	2.52   	13.8 	32.9 	7.55 	2.80 	0.914 	0.249 	0.217 	2.26 	3.36 	4.64
28 	45.8 	2.54   	11.5 	21.3 	8.14 	2.63 	0.859 	0.266 	0.166 	1.93 	4.20 	4.50
29 	35.5 		9.90 	16.9 	8.36 	2.48 	0.840 	0.267 	0.161 	1.70 	13.1 	4.32
30 	29.2 		9.28 	14.2 	7.74 	2.36 	0.850 	0.306 	0.144 	1.52 	13.9 	6.80
31 	24.0 		8.38 		8.73 		0.901 	0.306 		1.46 		9.05 
