1990 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	7.21 	13.2 	8.33 	15.7 	6.59 	4.85 	3.32 	0.575 	0.606 	1.97 	36.0 	59.8
2 	6.98 	18.3 	8.21 	16.1 	8.46 	4.90 	3.03 	0.561 	0.508 	2.15 	29.2 	49.0
3 	6.65 	107 	8.13 	14.9 	9.25 	18.1 	2.45 	0.527 	0.456 	2.39 	27.8 	192
4 	8.70 	42.0 	9.24 	13.3 	10.0 	16.1 	2.11 	0.477 	0.493 	7.04 	30.0 	259  
5 	24.6 	39.8 	10.7 	12.2 	11.7 	11.8 	2.20 	0.436 	0.547 	8.71 	28.6 	141  
6 	44.6 	29.6 	12.5 	11.6 	10.6 	8.99 	2.18 	0.397 	0.561 	6.64 	26.3 	98.0  
7 	68.2 	21.1 	13.7 	11.6 	7.66 	8.24 	2.13 	0.364 	0.591 	5.83 	27.6 	77.5  
8 	43.1 	16.8 	12.4 	11.9 	6.27 	7.53 	1.94 	0.408 	0.548 	5.44 	28.0 	90.0  
9 	37.7 	14.1 	12.1 	10.2 	5.46 	7.34 	1.87 	0.402 	0.607 	5.09 	91.2 	112  
10 	28.7 	17.4 	20.6 	9.34 	5.44 	10.6 	1.62 	0.371 	0.681 	5.60 	227 	92.2  
11 	20.6 	32.7 	16.6 	10.1 	5.69 	12.2 	1.59 	0.343 	0.746 	6.10 	233 	73.1  
12 	17.3 	24.6 	12.9 	11.8 	6.14 	9.72 	1.56 	0.310 	0.766 	9.11 	124 	55.5  
13 	17.0 	18.4 	10.8 	11.1 	5.72 	8.48 	1.44 	0.311 	0.783 	8.86 	121 	43.8  
14 	20.1 	14.4 	12.6 	12.5 	5.69 	7.44 	1.17 	0.339 	0.801 	8.02 	76.4 	37.1  
15 	18.1 	12.7 	12.8 	12.8 	5.35 	6.70 	1.15 	0.339 	0.833 	7.99 	61.6 	42.7  
16 	16.7 	10.7 	12.1 	15.5 	5.16 	6.21 	1.07 	0.372 	0.990 	7.83 	67.2 	41.8  
17 	14.7 	8.97 	15.4 	19.0 	5.10 	5.09 	1.02 	0.396 	1.17 	7.73 	73.0 	38.1  
18 	12.8 	7.60 	22.6 	16.0 	5.19 	4.87 	0.863 	0.404 	1.22 	11.8 	52.5 	38.3  
19 	11.2 	6.90 	20.2 	13.6 	5.28 	4.74 	0.812 	0.413 	1.26 	13.1 	43.4 	35.0  
20 	10.3 	6.87 	19.1 	14.4 	5.00 	4.59 	0.770 	0.374 	1.32 	11.5 	38.5 	29.4  
21 	9.33 	7.03 	19.0 	12.3 	4.84 	3.88 	0.698 	0.341 	1.31 	17.3 	34.4 	25.2  
22 	10.9 	6.79 	17.7 	10.5 	8.17 	3.71 	0.725 	0.364 	1.28 	18.6 	57.8 	22.8  
23 	11.7 	6.50 	15.8 	14.4 	7.65 	3.53 	0.665 	0.378 	1.38 	16.6 	310 	20.3  
24 	10.9 	7.58 	13.2 	15.4 	6.18 	3.15 	0.617 	0.356 	1.43 	18.5 	165 	17.7  
25 	21.6 	9.57 	11.2 	12.5 	5.22 	2.84 	0.583 	0.313 	1.37 	104 	81.2 	16.8  
26 	22.3 	9.85 	10.4 	10.5 	4.68 	2.59 	0.587 	0.270 	1.45 	69.3 	57.1 	15.4  
27 	18.5 	9.44 	9.72 	9.15 	4.65 	2.44 	0.606 	0.273 	1.71 	46.7 	46.3 	14.3  
28 	19.6 	8.70 	10.1 	8.29 	4.97 	2.51 	0.598 	0.289 	1.72 	66.9 	44.5 	13.2  
29 	22.8 		11.1 	7.05 	5.05 	2.95 	0.537 	0.216 	1.75 	55.4 	167 	12.4  
30 	18.7 		12.4 	6.51 	4.89 	3.39 	0.448 	0.267 	1.84 	65.8 	86.6 	12.2  
31 	15.1 		14.2 		4.65 		0.498 	0.465 		47.6 		11.9   
