1987 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	34.6   	33.0   	8.54 	5.94 	10.7 	11.4 	3.22 	0.920 	0.391 	0.318 	0.384 	60.5
2 	36.2   	22.0   	8.90 	6.35 	9.30 	8.38 	3.01 	0.835 	0.430 	0.314 	0.373 	42.6
3 	47.5   	12.7   	47.7 	7.83 	8.90 	6.93 	2.75 	0.789 	0.409 	0.313 	0.351 	46.3
4 	73.5   	43.5 	154 	8.62 	14.5 	6.53 	2.50 	0.794 	0.385 	0.310 	0.363 	31.4
5 	55.0   	55.1 	160 	8.05 	11.9 	6.25 	2.26 	0.757 	0.360 	0.307 	0.361 	23.0
6 	36.1   	39.8 	85.9 	7.50 	10.2 	5.93 	2.10 	0.728 	0.333 	0.303 	0.356 	68.6
7 	26.5   	24.5 	47.6 	8.37 	9.96 	5.22 	2.09 	0.706 	0.327 	0.302 	0.372 	42.3
8 	18.5   	16.9 	33.7 	11.5 	10.8 	5.26 	1.93 	0.673 	0.318 	0.290 	0.360 	35.0
9 	13.9   	14.7 	26.1 	10.4 	10.4 	5.02 	1.92 	0.629 	0.318 	0.301 	0.357 	65.5
10 	14.2   	25.9 	24.8 	15.7 	9.15 	4.53 	1.75 	0.610 	0.314 	0.288 	1.87 	76.7
11 	40.0   	53.0 	28.4 	12.5 	8.84 	3.99 	1.59 	0.592 	0.305 	0.277 	8.06 	34.4
12 	160   	37.7 	32.9 	9.82 	10.6 	11.8 	1.45 	0.583 	0.296 	0.274 	6.05 	20.5
13 	91.0   	38.0 	37.1 	8.53 	7.18 	16.1 	1.38 	0.604 	0.298 	0.289 	6.78 	13.5
14 	60.2   	37.6 	32.2 	15.4 	7.83 	10.0 	1.35 	0.624 	0.300 	0.288 	5.35 	10.5
15 	35.5   	25.1 	25.5 	16.4 	6.98 	7.67 	1.41 	0.610 	0.318 	0.296 	3.88 	8.64
16 	23.0   	19.6 	21.6 	33.2 	5.93 	6.12 	1.23 	0.580 	0.332 	0.266 	3.50 	7.49
17 	13.0   	17.8 	23.5 	22.8 	5.46 	5.38 	1.09 	0.567 	0.334 	0.274 	2.75 	6.43
18 	11.9   	14.6 	21.2 	14.5 	4.89 	4.68 	1.01 	0.555 	0.331 	0.286 	2.38 	5.75
19 	10.9   	13.0 	17.4 	10.7 	4.48 	4.22 	0.986 	0.526 	0.331 	0.265 	2.36 	5.27
20 	9.50   	12.3 	14.7 	9.18 	4.16 	4.35 	0.939 	0.517 	0.333 	0.270 	3.30 	4.77
21 	8.50   	11.9 	12.6 	7.85 	4.13 	5.20 	0.963 	0.486 	0.332 	0.285 	5.36 	4.48
22 	7.70   	11.4 	10.8 	6.98 	4.14 	4.74 	0.960 	0.475 	0.331 	0.283 	12.2 	4.31
23 	6.90   	10.5 	9.67 	6.39 	4.41 	4.25 	0.927 	0.464 	0.335 	0.282 	10.1 	3.71
24 	6.40   	9.64 	9.03 	6.07 	4.25 	3.80 	0.924 	0.443 	0.330 	0.279 	63.6 	3.37
25 	7.30   	9.04 	8.69 	5.66 	4.54 	3.47 	1.39 	0.422 	0.328 	0.281 	23.9 	3.19
26 	14.1   	8.79 	8.00 	5.46 	4.81 	3.39 	1.49 	0.419 	0.327 	0.284 	12.1 	3.04
27 	16.2   	8.51 	7.49 	5.44 	4.90 	3.46 	1.23 	0.421 	0.328 	0.281 	8.47 	3.01
28 	29.2   	8.47 	7.03 	8.02 	4.94 	3.42 	1.13 	0.418 	0.327 	0.281 	6.56 	3.01
29 	65.1   		6.54 	9.45 	5.51 	3.33 	1.03 	0.404 	0.326 	0.297 	5.44 	2.93
30 	66.0   		6.31 	10.9 	18.9 	3.37 	0.998 	0.395 	0.322 	0.283 	7.28 	3.03
31 	51.8   		6.10 		18.8 		0.987 	0.391 		0.295 		3.19 
