1998 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	7.90 	22.4 	12.3 	9.12 	15.4 	7.09 	1.64 	0.716 	0.187 	0.214 	2.87 	42.2  
2 	16.0 	18.7 	11.8 	8.36 	16.7 	6.03 	1.58 	0.699 	0.191 	0.358 	3.12 	38.5  
3 	12.7 	16.0 	11.0 	7.65 	15.3 	5.94 	1.76 	0.652 	0.173 	0.443 	4.01 	33.1  
4 	11.0 	13.9 	10.1 	7.06 	14.1 	5.52 	2.65 	0.597 	0.192 	0.449 	3.85 	28.7  
5 	10.8 	13.4 	9.30 	6.62 	14.7 	5.48 	2.99 	0.594 	0.187 	0.432 	4.24 	30.0  
6 	10.5 	13.8 	8.59 	6.35 	14.4 	5.13 	2.63 	0.571 	0.182 	0.483 	3.72 	28.5  
7 	9.55 	18.2 	7.88 	6.03 	12.5 	5.13 	2.33 	0.534 	0.170 	0.658 	3.20 	24.6  
8 	8.29 	21.2 	7.43 	5.67 	10.6 	5.01 	2.07 	0.503 	0.188 	0.792 	2.70 	22.0
9 	7.27 	18.2 	8.15 	5.35 	8.62 	4.87 	1.79 	0.452 	0.200 	1.13 	2.41 	16.1
10 	6.58 	15.4 	8.96 	5.14 	7.86 	5.78 	1.56 	0.531 	0.199 	1.72 	2.19 	29.2
11 	5.06 	15.7 	10.9 	5.63 	7.32 	5.31 	1.43 	0.452 	0.207 	1.36 	1.91 	29.0
12 	4.81 	50.0 	18.5 	5.92 	6.82 	4.29 	1.45 	0.398 	0.414 	5.70 	7.65   	143
13 	5.99 	93.7 	25.7 	5.48 	7.26 	3.88 	1.48 	0.379 	0.882 	9.17 	36.1   	215
14 	43.1 	52.1 	22.8 	5.15 	6.95 	3.69 	1.49 	0.282 	0.874 	6.96 	27.5   	76.4
15 	72.7 	32.7 	19.0 	4.91 	6.20 	3.44 	2.86 	0.249 	0.709 	4.44 	128   	53.1
16 	43.3 	23.5 	16.8 	4.67 	5.55 	3.10 	2.59 	0.277 	0.518 	3.30 	65.0   	43.1
17 	48.7 	18.6 	13.6 	4.58 	4.78 	2.90 	2.61 	0.408 	0.429 	4.07 	34.5   	39.5
18 	61.5 	21.4 	11.4 	4.68 	4.58 	2.73 	2.30 	0.478 	0.711 	5.23 	22.1   	28.0
19 	62.5 	57.6 	10.0 	5.46 	4.63 	2.85 	1.90 	0.411 	0.632 	3.84 	21.3   	20.6
20 	35.2 	39.4 	9.32 	5.09 	4.70 	2.95 	1.57 	0.350 	0.492 	3.11 	85.0   	15.9
21 	24.4 	48.2 	9.38 	4.98 	5.22 	3.01 	1.40 	0.316 	0.365 	2.58 	58.4   	13.5
22 	21.9 	46.4 	17.3 	5.62 	5.71 	3.01 	1.22 	0.281 	0.306 	2.23 	31.9   	11.3
23 	133 	30.8 	20.7 	6.42 	5.20 	2.97 	1.06 	0.268 	0.246 	1.96 	66.6   	10.2
24 	182 	22.3 	44.9 	7.07 	6.12 	3.13 	0.936 	0.273 	0.222 	1.78 	119   	9.27
25 	101 	18.1 	26.4 	6.47 	6.51 	3.35 	0.843 	0.256 	0.229 	1.58 	116   	9.44
26 	117 	15.2 	19.0 	5.93 	5.46 	3.47 	0.790 	0.246 	0.209 	1.54 	85.4   	10.6
27 	67.5 	13.2 	15.0 	6.62 	8.17 	3.14 	0.753 	0.228 	0.196 	1.39 	64.2   	11.0
28 	48.5 	11.9 	13.6 	7.23 	8.54 	2.75 	0.724 	0.216 	0.207 	1.42 	42.5   	26.1
29 	62.3 		12.1 	9.20 	6.36 	2.15 	0.739 	0.209 	0.206 	1.34 	31.7   	53.9
30 	47.8 		10.7 	11.9 	6.10 	1.87 	0.748 	0.196 	0.204 	1.37 	30.4   	48.0
31 	30.5 		10.1 		6.61 		0.732 	0.190 		1.42 		42.5 
