1997 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	168 	39.9 	10.9 	13.6 	17.4 	18.8 	6.30 	1.49 	2.92 	47.4 	39.7 	46.5
2 	131 	28.4 	20.1 	11.9 	16.0 	15.9 	5.58 	1.46 	2.61 	95.2 	24.1 	30.1
3 	67.7 	22.0 	17.9 	11.0 	18.3 	16.0 	4.84 	1.41 	2.40 	52.0 	53.6 	22.0
4 	35.8 	18.0 	14.3 	10.1 	22.5 	20.8 	4.41 	1.36 	2.29   	63.4 	40.4 	16.4
5 	23.6 	15.5 	12.5 	9.26 	63.6 	14.4 	4.35 	1.32 	2.28 	37.7 	26.1 	12.2
6 	25.3 	13.7 	12.6 	8.66 	61.4 	10.8 	4.72 	1.30 	2.26 	22.4 	23.5 	9.75
7 	31.1 	12.6 	15.0 	8.63 	39.6 	8.97 	4.12 	1.24 	1.97 	16.3 	19.2 	8.21
8 	28.3 	11.6 	14.7 	8.53 	26.4 	7.91 	26.4 	1.17 	2.07 	21.0 	15.2 	7.24
9 	26.3 	10.9 	18.1 	8.74 	22.6 	6.92 	21.0 	1.17 	1.97 	24.0 	12.1 	6.21
10 	24.7 	10.1 	21.9 	8.73 	20.7 	6.55 	12.3 	1.10 	1.73 	46.7 	10.4 	5.97
11 	21.9 	9.89 	17.3 	8.78 	19.5 	7.06 	9.01 	1.05 	1.44 	28.0 	8.81 	5.81
12 	19.0 	10.4 	14.5 	8.86 	21.7 	6.59 	7.19 	1.01 	1.39 	18.4 	7.23 	5.33
13 	16.5 	10.4 	12.5 	9.84 	23.4 	5.83 	5.96 	0.992 	1.34 	15.3 	6.31 	5.03
14 	14.1 	10.5 	11.3 	10.4 	23.5 	6.00 	5.56 	0.990 	1.66 	18.4 	5.62 	15.4
15 	12.5 	13.0 	10.6 	14.3 	21.4 	6.47 	4.88 	0.952 	3.38 	18.4 	5.02 	24.8
16 	11.4 	16.9 	10.3 	98.1 	18.7 	6.38 	4.29 	0.918 	3.61 	18.6 	4.86 	89.6
17 	24.4 	17.9 	22.9 	61.1 	16.1 	16.0 	3.76 	0.906 	9.31 	19.6 	4.70 	69.0
18 	40.7 	17.8 	263 	31.3 	12.4 	13.5 	3.38 	0.837 	9.72 	15.1 	4.84 	37.6
19 	123 	21.1 	218 	22.3 	11.1 	9.03 	3.04 	0.831 	7.51 	11.9 	4.89 	29.5
20 	79.2 	17.9 	93.2 	28.4 	10.3 	6.90 	2.81 	0.861 	5.67 	9.64 	6.10 	47.8
21 	46.4 	15.2 	45.6 	23.3 	9.42 	6.45 	2.67 	0.962 	4.56 	8.00 	6.51 	34.0
22 	32.4 	13.3 	29.8 	18.9 	9.47 	7.03 	2.52 	0.959 	3.84 	6.87 	6.18 	23.0
23 	23.8 	11.9 	22.6 	23.5 	9.12 	7.05 	2.42 	0.988 	3.04 	6.23 	41.3 	23.2
24 	18.4   	11.1 	18.0 	21.5 	8.85 	6.68 	2.22 	0.983 	2.58 	5.53 	56.0 	17.9
25 	15.3 	10.7 	16.7 	18.5 	8.15 	6.37 	2.10 	1.40 	2.35 	8.47 	32.8 	14.0
26 	12.6 	10.7 	20.8 	23.0 	9.00 	6.64 	2.03 	6.39 	7.04 	7.05 	21.0 	12.8
27 	11.3 	10.4 	18.3 	24.8 	9.03 	10.4 	1.90 	9.27 	18.9 	6.40 	33.3 	16.6
28 	10.7 	9.88 	16.4 	17.9 	9.97 	9.09 	1.80 	6.49 	19.6 	5.58 	149 	17.5
29 	15.7 		16.1 	15.9 	13.5 	7.40 	1.72 	4.56 	14.5 	38.1 	94.4 	31.7
30 	164 		16.9 	15.8 	12.4 	6.52 	1.61 	3.86 	24.6 	118 	78.7 	29.3
31 	71.5 		15.6 		23.6 		1.55 	3.28 		71.8 		22.1 
