1988 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	3.28 	10.5 	8.54 	9.39 	12.1 	8.96 	3.50 	1.49 	0.505   	1.55 	15.1 	12.7
2 	3.05 	8.58 	8.74 	18.0 	11.0 	9.62 	3.84 	1.28 	0.498   	1.31 	23.3   	24.5
3 	2.72 	7.73 	9.61 	47.2 	11.2 	25.0 	3.87 	1.19 	0.478   	1.17 	90.0   	18.7
4 	3.05 	6.85 	8.95 	29.0 	9.71 	17.5 	3.62 	1.13 	0.461   	1.03 	24.0   	15.5
5 	2.78 	6.10 	10.3 	28.8 	9.12 	13.1 	4.23 	1.17 	0.441   	1.31 	35.5   	16.6
6 	2.54 	5.48 	15.9 	42.9 	9.14 	10.5 	4.71 	1.12 	0.418   	1.41 	60.0   	21.8
7 	2.62 	5.82 	15.1 	30.7 	9.18 	9.77 	4.25 	1.03 	0.336 	1.29 	20.0   	21.8
8 	2.54 	5.95 	14.3 	22.2 	9.54 	9.14 	3.84 	1.02 	0.326 	1.14 	15.5   	17.1
9 	2.46 	6.51 	14.4 	16.5 	10.8 	8.48 	3.72 	0.902 	0.329 	0.960 	20.8   	14.8
10 	3.33 	7.46 	11.4 	13.5 	11.5 	8.46 	3.70 	0.879 	0.349 	1.02 	21.2   	12.6
11 	3.48 	12.1 	9.45 	12.9 	14.8 	8.24 	3.80 	0.883 	0.400 	0.731 	19.0   	11.9
12 	3.79 	28.1 	8.33 	12.3 	20.4 	7.24 	3.55 	0.831 	0.371 	0.715 	17.2   	33.2
13 	5.67 	29.1 	7.46 	14.0 	24.7 	6.93 	3.98 	0.762 	0.295 	0.752 	15.3   	64.8
14 	109 	25.1 	6.90 	17.6 	16.5 	7.97 	3.69 	0.755 	0.268 	0.821 	13.9   	31.1
15 	80.5 	33.8 	6.37 	20.4 	13.4 	9.18 	3.33 	0.797 	0.277 	1.09 	12.7   	20.2  
16 	38.0 	19.5 	5.93 	20.5 	17.9 	8.93 	3.12 	0.960 	0.293 	2.77 	10.7 	16.5
17 	23.1 	16.4 	5.67 	18.8 	20.2 	7.50 	2.91 	1.05 	0.295 	3.04 	9.28 	13.6
18 	16.0 	13.9 	5.53 	16.2 	15.0 	8.16 	2.78 	1.02 	0.315 	2.62 	7.74   	11.7
19 	12.0 	11.2 	5.66 	13.9 	12.4 	7.22 	2.81 	0.940 	0.329 	3.03 	31.5   	11.0
20 	13.8 	9.85 	19.2 	13.2 	10.6 	6.13 	2.85 	0.848 	0.347 	3.09 	27.3   	10.0
21 	12.8 	8.71 	18.6 	14.4 	10.2 	6.18 	2.80 	0.767 	0.338 	2.70 	18.9   	9.60
22 	14.0 	7.90 	17.9 	14.8 	12.9 	6.52 	2.66 	0.723 	0.329 	2.73 	26.9   	8.95
23 	14.6 	7.12 	42.1 	12.6 	13.3 	6.29 	2.38 	0.698 	0.423 	2.64 	56.8   	8.58
24 	11.6 	6.52 	28.0 	10.6 	9.63 	5.31 	2.25 	0.659 	0.593 	2.43 	34.0   	7.98
25 	9.95 	6.03 	24.5 	9.16 	8.40 	5.07 	2.15 	0.636 	1.42 	2.15 	21.8   	7.65
26 	8.76 	5.86 	32.7 	8.09 	8.13 	5.46 	2.16 	0.616 	1.48 	1.95 	16.8 	6.57
27 	7.84 	6.25 	21.1 	7.95 	11.9 	4.83 	1.98 	0.573 	2.59 	1.79 	16.5 	6.25
28 	28.6 	6.55 	15.1 	19.3 	22.5 	4.38 	1.88 	0.565 	2.68 	1.73 	19.3 	5.91
29 	30.3 	7.35 	12.5 	29.6 	15.0 	3.86 	1.74 	0.550   	2.09 	1.63 	16.7 	5.91
30 	19.1 		10.4 	16.5 	10.2 	3.62 	1.59 	0.530   	1.76 	2.05 	14.5 	25.6
31 	13.5 		9.16 		8.86 		1.56 	0.519   		4.48 		22.7 
