1992 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	47.6 	117   	18.0 	3.63 	17.0   	1.79   	1.04 	0.265 	0.597 	1.06 	36.8 	24.0
2 	67.4 	108   	17.4 	3.47 	13.4   	1.74   	1.01 	0.275 	0.633 	0.943 	25.5 	16.5
3 	34.2 	146 	16.0 	3.27 	10.2   	1.70   	1.09 	0.257 	0.599 	0.883 	16.2 	12.1
4 	33.1 	43.5   	14.7 	3.06 	8.41   	1.63 	1.30 	0.258 	0.579 	0.899 	19.7 	9.35
5 	24.7 	29.5   	14.3 	2.90 	7.30   	1.53 	2.05 	0.263 	0.615 	0.819 	16.3 	8.08
6 	19.0 	22.5   	13.4 	2.86 	6.63   	1.45 	2.34 	0.261 	0.638 	0.770 	12.5 	7.22
7 	15.4 	15.3   	12.0 	2.80 	6.18   	1.41 	2.04 	0.283 	0.642 	0.704 	25.9 	6.29
8 	13.4 	12.1   	10.8 	2.72 	5.62   	1.34 	1.85 	0.309 	0.596 	0.758 	18.5 	6.74
9 	12.4 	11.7   	10.0 	2.60 	5.37   	1.31 	1.66 	0.637 	0.660   	0.714 	13.0 	8.12
10 	40.8 	10.4   	8.65 	2.80 	5.02   	1.34   	1.57 	0.730 	0.590   	0.649 	10.1 	7.87
11 	47.6 	9.25   	7.81 	2.89 	4.63   	1.43   	1.94 	0.504 	0.579 	0.667 	8.90 	7.28
12 	29.6 	8.83   	7.35 	2.88 	4.41   	1.39 	1.79 	0.385 	0.558 	0.663 	7.74 	6.09
13 	20.8 	10.4   	7.10 	3.01 	4.21   	1.62 	1.56 	0.344 	0.470 	0.636 	6.43 	5.61
14 	16.4 	10.1 	6.93 	3.12 	4.07   	2.16 	1.32 	0.309 	0.417 	0.613 	5.72 	15.8
15 	15.0 	9.69 	6.55 	3.13 	3.79   	2.18 	1.12 	0.316 	0.441 	0.585 	5.19 	13.5
16 	20.5 	8.96 	6.28 	15.6 	3.49   	1.89 	0.908 	0.252 	0.465 	0.549 	4.73 	10.6
17 	17.5 	8.67 	6.17 	20.1 	3.25   	1.70 	0.684 	0.272 	0.460 	0.486 	4.47 	9.45
18 	15.1 	8.67 	5.97 	10.8 	3.00   	1.35 	0.707 	0.281 	0.317 	2.49 	4.56 	8.17
19 	13.1 	8.72 	5.89 	7.78 	2.78   	1.21 	0.617 	0.363 	0.335 	4.93 	18.2 	7.21
20 	12.2   	8.31 	5.74 	6.59 	2.67   	1.15 	0.617 	0.320 	0.269 	28.3 	13.7 	7.42
21 	23.0 	21.8 	5.38 	5.66 	2.35   	1.01 	0.617 	0.445 	0.275 	16.9 	22.0 	7.08
22 	22.6 	50.7 	5.15 	5.65 	2.28   	0.878 	0.612 	0.321 	0.320 	19.4 	34.1 	6.23
23 	161   	31.9 	4.90 	5.30 	2.21   	0.741 	0.595 	0.545 	0.366 	29.4 	21.6 	6.36
24 	98.2   	28.6   	5.15 	4.83 	2.14   	0.779 	0.543 	0.545 	2.04 	25.4 	13.8 	7.14
25 	55.5   	25.3 	4.82 	4.71 	2.11   	0.702 	0.496 	0.586 	2.39 	15.2 	9.95 	7.22
26 	80.2   	23.8 	4.73 	5.36 	2.06   	0.690 	0.448 	0.600 	1.94 	9.26 	7.77 	7.06
27 	108   	22.6 	4.51 	12.4 	2.00   	0.653 	0.465 	0.615 	2.61 	6.42 	26.8 	6.77
28 	90.8   	21.0 	4.22 	12.1 	1.97   	0.618 	0.396 	0.588 	1.90 	5.47 	24.0 	6.25
29 	147   	19.7 	4.07 	25.0 	1.94   	0.878 	0.323 	0.574 	1.68 	5.38 	16.2 	5.67
30 	241   		4.03 	39.4 	1.87   	1.03 	0.319 	0.570 	1.29 	8.69 	30.3 	5.16
31 	160   		3.80 		1.83   		0.293 	0.582 		23.3 		4.74 
