1985 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	3.52 	4.09 	8.78 	25.8 	7.68 	8.37 	1.97 	0.665 	0.284 	0.570 	10.1 	2.20  
2 	3.66 	4.00 	7.95 	41.4 	7.82 	8.92 	1.88 	0.756 	0.284 	0.604 	26.4 	2.60  
3 	3.34 	3.64 	6.94 	32.1 	12.7 	7.06 	1.88 	0.696 	0.284 	0.574 	19.2 	2.50  
4 	3.16 	3.22 	6.71 	21.6 	13.3 	6.60 	1.92 	0.696 	0.269 	0.513 	13.7 	3.00  
5 	3.40 	3.46 	6.49 	16.8 	11.0 	7.17 	1.97 	0.665 	0.284 	0.543 	10.1 	51.5
6 	3.52 	3.28 	6.28 	14.0 	9.20 	5.74 	2.02 	0.635 	0.817 	0.513 	10.4 	41.4
7 	3.58 	3.52 	5.85 	13.5 	8.92 	6.06 	1.83 	0.635 	0.482 	0.513 	9.35 	29.6
8 	3.52 	3.34 	5.42 	16.1 	8.23 	5.95 	1.74 	0.665 	0.422 	0.482 	7.82 	23.1
9 	3.46 	3.22 	5.02 	19.0 	7.68 	4.74 	1.69 	0.604 	0.422 	0.452 	7.17 	15.8
10 	3.34 	3.10 	4.74 	21.6 	6.94 	4.37 	1.69 	0.817 	0.391 	0.482 	6.49 	11.0
11 	3.34 	4.09 	4.46 	22.8 	7.06 	4.37 	1.69 	0.635 	0.361 	0.848 	5.52 	9.20
12 	3.34 	15.3 	4.28 	37.3 	6.60 	5.52 	1.55 	0.574 	0.422 	2.48 	4.83 	7.54
13 	3.34 	11.4 	4.09 	26.6 	6.60 	4.74 	1.42 	0.604 	0.482 	1.92 	4.55 	6.17
14 	3.52 	9.06 	3.94 	28.0 	8.51 	4.28 	1.32 	0.543 	1.55 	1.69 	4.00 	5.63
15 	7.17 	30.2 	3.94 	20.4 	8.51 	5.95 	1.23 	0.513 	2.38 	1.97 	4.00 	5.02
16 	6.28 	19.2 	3.88 	17.0 	9.66 	4.55 	1.18 	0.452 	2.06 	6.49 	8.51 	4.65
17 	6.60 	13.7 	4.09 	14.4 	16.1 	3.88 	1.14 	0.452 	1.83 	3.88 	7.68 	4.28
18 	11.2 	10.6 	4.55 	11.6 	22.3 	4.00 	1.09 	0.422 	1.65 	4.83 	6.38 	4.28
19 	16.5 	9.51 	4.55 	9.66 	20.4 	4.74 	1.05 	0.422 	1.46 	16.3 	5.52 	4.28
20 	19.9 	9.20 	5.31 	7.95 	14.8 	4.55 	1.00 	0.391 	1.28 	24.0 	5.02 	4.65
21 	16.3 	8.09 	5.52 	6.83 	12.7 	3.88 	0.969 	0.391 	1.14 	25.8 	4.37 	4.65
22 	12.2 	8.51 	5.52 	6.06 	12.4 	3.52 	0.969 	0.391 	1.00 	62.7 	3.40   	4.55
23 	9.82 	9.06 	6.28 	7.06 	13.7 	3.04 	0.909 	0.361 	0.939 	30.5 	2.60   	4.55
24 	8.37 	18.7 	9.20 	6.83 	15.1 	2.80 	0.878 	0.361 	0.878 	17.7 	2.70   	4.65
25 	7.40 	15.8 	8.37 	6.60 	13.5 	2.62 	0.817 	0.330 	0.817 	17.7 	3.30   	4.28
26 	6.49 	11.6 	7.17 	6.60 	10.9 	2.52 	0.787 	0.300 	0.787 	13.3 	3.30   	4.00
27 	5.95 	9.51 	7.17 	12.9 	10.7 	2.52 	0.756 	0.300 	0.756 	21.1 	2.80   	3.82
28 	5.42 	8.51 	6.49 	13.1 	9.66 	2.34 	0.726 	0.269 	0.665 	21.6 	2.60   	3.64
29 	4.65 		6.83 	10.6 	9.06 	2.20 	0.696 	0.269 	0.665 	14.0 	2.20   	3.64
30 	4.28 		7.17 	8.65 	8.51 	2.11 	0.696 	0.269 	0.570 	13.3 	2.40   	3.52
31 	4.28 		12.4 		7.54 		0.665 	0.361 		11.6 		3.28 
