1995 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	12.3 	107   	9.43 	10.1 	9.48 	5.37 	3.02 	0.772 	0.473 	0.337 	5.03 	42.0
2 	10.1 	64.2   	8.63 	9.54 	9.96 	5.29 	2.97 	0.710 	0.439 	0.427 	4.46 	31.8
3 	8.30 	54.5   	7.90 	9.07 	9.68 	5.05 	2.91 	0.640 	0.417 	0.559 	4.13 	34.0
4 	7.15 	43.4   	7.66 	9.31 	8.80 	4.75 	2.64 	0.613 	0.382 	0.511 	3.87 	44.2
5 	6.32 	33.1   	7.48 	8.69 	8.06 	4.44 	2.45 	0.556 	0.396 	0.450 	3.79 	28.5
6 	5.49 	37.5   	6.83 	8.41 	8.08 	3.81 	2.21 	0.676 	0.472 	0.488 	3.49 	21.4
7 	5.00 	29.0   	6.41 	17.1 	8.44 	3.47 	2.04 	2.00 	0.581 	0.573 	22.3 	17.8
8 	8.63 	25.0   	6.86 	18.0 	8.86 	3.67 	1.93 	2.64 	0.485 	0.981 	142 	15.2
9 	19.9 	19.1   	34.2 	13.3 	9.82 	3.98 	1.87 	1.86 	0.415 	1.45 	42.1 	13.9
10 	49.4 	18.3   	87.5 	11.3 	10.7 	4.90 	2.32 	1.38 	0.394 	11.1 	20.5 	115
11 	43.7 	17.1   	50.9 	10.7 	9.66 	5.55 	2.11 	1.21 	0.380 	8.24 	41.7 	108
12 	31.8 	13.2   	34.1 	9.74 	8.48 	4.62 	2.00 	1.02 	0.352 	5.87 	24.3 	91.9
13 	25.8 	10.0   	30.5 	10.1 	7.11 	6.32 	1.79 	0.908 	0.327 	4.67 	22.3 	90.5
14 	32.6 	7.73   	69.3 	9.72 	8.11 	5.65 	1.66 	0.841 	0.329 	7.74 	53.9 	89.1
15 	32.7 	7.61 	51.3 	8.95 	9.98 	4.54 	1.50 	0.815 	0.327 	7.14 	31.3 	92.2
16 	22.3 	7.40 	26.9 	8.22 	10.1 	4.06 	1.44 	0.843 	0.313 	9.25 	23.8 	52.9
17 	16.9 	14.4 	18.6 	7.72 	8.90 	4.15 	1.28 	0.831 	0.298 	19.3 	119 	39.6
18 	59.3 	61.7 	16.5 	7.62 	7.74 	4.35 	1.21 	0.735 	0.288 	13.1 	125 	70.8
19 	57.9 	94.8 	14.8 	7.10 	6.67 	3.90 	1.14 	0.788 	0.283 	8.73 	46.0 	46.0
20 	30.5 	110 	18.3 	6.84 	6.25 	3.57 	1.08 	0.989 	0.278 	7.70 	29.3 	31.7
21 	19.6 	62.3 	30.1 	6.58 	6.14 	3.46 	1.03 	1.02 	0.291 	7.07 	22.1 	25.2
22 	15.2 	29.2 	24.2 	6.01 	6.02 	3.34 	0.962 	0.896 	0.273 	6.02 	21.7 	21.1
23 	12.6 	19.3 	19.4 	6.02 	6.07 	3.24 	0.929 	0.805 	0.264 	5.28 	62.5 	18.2
24 	11.1 	16.5 	15.9 	6.52 	6.35 	3.10 	0.882 	0.711 	0.254 	5.00 	75.2 	16.4
25 	9.46 	16.4 	13.3 	7.49 	6.98 	2.91 	0.952 	0.641 	0.249 	25.2 	78.8 	14.6
26 	8.75 	13.9 	11.3 	7.94 	7.17 	2.69 	1.03 	0.507 	0.258 	30.1 	49.1 	13.5
27 	8.08 	11.9 	10.3 	8.46 	6.99 	2.67 	1.10 	0.535 	0.273 	14.1 	33.4 	13.1
28 	8.06 	10.4 	10.2 	9.58 	6.70 	3.33 	1.09 	0.488 	0.276 	10.1 	48.0 	12.6
29 	78.1   		10.0 	9.74 	6.42 	3.27 	0.906 	0.552 	0.279 	8.12 	106 	16.9
30 	44.5   		10.4 	9.93 	6.50 	3.10 	0.840 	0.577 	0.299 	6.79 	73.4 	23.4
31 	81.0   		10.2 		6.20 		0.819 	0.492 		5.82 		24.4 
