1986 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	3.62 	33.9 	20.9 	10.9 	6.28 	9.22 	2.66 	0.830   	0.360   	0.579 	4.97 	57.3
2 	3.87 	36.0 	15.6 	9.33 	8.24 	7.84 	3.57 	0.820   	0.360   	0.577 	3.91 	29.9
3 	3.71 	25.7 	13.2 	8.29 	9.08 	7.17 	3.23 	0.810   	0.360   	0.564 	3.61 	18.1
4 	3.55 	20.0 	12.6 	7.64 	8.83 	6.85 	2.95 	0.760   	0.370   	0.575 	3.34 	13.2
5 	4.88 	18.6 	11.5 	7.04 	8.34 	6.35 	2.63 	0.710   	0.400   	0.590 	2.85 	10.9
6 	11.0 	15.1 	10.5 	6.48 	7.79 	5.97 	2.53 	0.690   	0.400   	0.657 	2.76 	9.26
7 	10.1 	12.3 	36.4 	6.10 	7.42 	5.58 	2.28 	0.670   	0.400   	0.678 	2.63 	8.30
8 	76.2 	10.6 	38.5 	6.06 	7.09 	5.25 	2.00 	0.600   	0.410   	0.540 	2.56 	7.44
9 	46.1 	9.15 	23.1 	6.00 	6.84 	5.03 	1.91 	0.590   	0.410   	0.542 	2.44 	6.64
10 	90.2 	8.41 	16.1 	5.81 	6.63 	4.77 	1.87 	0.640   	0.400   	0.607 	2.31 	6.15
11 	86.1 	7.29 	13.7 	5.63 	6.33 	4.51 	1.89 	0.620   	0.390   	0.655 	2.22 	5.96
12 	39.5 	6.68 	15.0 	5.58 	12.6 	4.38 	1.96 	0.590   	0.390   	0.589 	2.17 	5.85
13 	28.1 	5.92 	13.4 	5.46 	25.9 	4.23 	1.92 	0.560   	0.390   	0.604 	2.11 	5.78
14 	34.9 	5.23 	11.5 	5.06 	15.0 	3.98 	1.74 	0.520   	0.390   	0.584 	2.48 	13.7
15 	26.7 	5.10   	9.79 	4.87 	11.6 	4.53 	1.76 	0.480   	0.390   	0.555 	2.46 	31.1
16 	33.7 	4.81   	8.98 	5.01 	9.80 	6.08 	1.81 	0.450   	0.370   	0.551 	2.53 	19.4
17 	49.5 	4.42   	8.16 	5.06 	8.68 	5.34 	1.79 	0.450   	0.375   	0.480 	2.55 	14.7  
18 	259 	4.02   	7.71 	4.94 	8.43 	5.33 	1.63 	0.440   	0.315   	0.548 	16.7 	11.5  
19 	184 	3.92   	7.37 	4.87 	9.19 	5.06 	1.55 	0.410   	0.292 	0.517 	36.6 	9.80  
20 	57.5 	4.00   	7.16 	5.82 	16.8 	4.80 	1.42 	0.390   	0.301 	0.565 	101 	12.4  
21 	35.4 	4.05   	10.2 	7.30 	11.4 	4.74 	1.35 	0.390   	0.388 	0.612 	43.7 	55.0  
22 	30.4 	4.18 	11.1 	7.04 	9.14 	4.23 	1.33 	0.410   	0.415 	0.575 	23.8 	138  
23 	44.3 	8.57 	9.55 	5.85 	7.91 	3.91 	1.23 	0.420   	0.380 	0.578 	89.9 	90.0  
24 	34.2 	241 	11.4 	5.40 	10.3 	3.59 	1.28 	0.400   	0.522 	0.568 	45.7 	63.0  
25 	24.2 	191 	12.5 	5.33 	23.8 	3.39 	1.18 	0.420   	0.648 	0.569 	36.1 	51.0  
26 	18.4 	74.3 	59.8 	5.70 	29.5 	3.22 	1.21 	0.420   	0.585 	1.04 	53.2 	39.8  
27 	17.9 	41.6 	105 	6.85 	17.8 	2.86 	1.08   	0.410   	0.512 	2.59 	36.1 	39.0  
28 	19.1 	30.9 	51.2 	6.94 	12.4 	2.84 	1.04   	0.380   	0.493 	4.51 	23.4 	49.0  
29 	16.5 		27.4 	6.70 	10.1 	2.85 	0.990   	0.380   	0.537 	4.36 	15.6 	68.1  
30 	18.0 		17.1 	6.47 	9.37 	2.60 	0.890   	0.370   	0.544 	5.84 	17.7 	56.0  
31 	20.1 		13.1 		9.22 		0.850   	0.370   		7.19 		34.5   
