1991 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	11.8   	132 	6.91 	8.06 	4.51 	2.55 	1.63 	0.484 	17.9 	0.688 	0.540 	9.25
2 	11.6   	244 	6.68 	7.65 	4.79 	2.54 	1.58 	0.396 	11.4 	0.699 	0.636 	8.70
3 	11.1   	87.3 	8.46 	13.2 	5.00 	2.56 	1.72 	0.330 	8.04 	0.671 	0.714 	7.63
4 	10.7   	164 	8.76 	40.9 	5.42 	2.34 	1.75 	0.311 	6.29 	0.657 	1.05 	7.27  
5 	10.3   	89.8 	7.69 	31.8 	5.41 	2.14 	1.35 	0.290 	5.21 	0.611 	2.40 	11.0  
6 	10.1   	38.1 	7.11 	25.0 	6.63 	1.93 	1.20 	0.300 	4.45 	0.525 	2.70 	17.5  
7 	9.80   	31.1 	7.19 	18.6 	7.64 	2.27 	1.12 	0.321 	3.86 	0.437 	2.54 	13.2  
8 	9.80   	37.7 	7.02 	14.2 	8.67 	2.42 	1.03 	8.50 	3.34 	0.491 	3.51 	23.0  
9 	10.9   	35.7 	7.09 	12.8 	6.44 	2.35 	0.940 	10.7 	2.94 	0.487 	3.86 	42.0  
10 	19.0   	26.7 	7.34 	10.6 	5.14 	2.40 	0.881 	6.79 	2.59 	0.519 	4.08 	41.0  
11 	30.0   	21.5 	7.22 	9.18 	4.63 	2.67 	0.908 	4.45 	2.43 	0.511 	16.1   	39.0  
12 	57.0   	21.7 	7.11 	8.36 	5.14 	2.13 	0.916 	3.17 	2.20 	0.497 	40.0   	37.6  
13 	55.0   	19.2 	6.95 	7.74 	5.00 	1.98 	0.823 	2.52 	2.06 	0.440 	26.9   	30.0  
14 	49.0   	19.5 	6.74 	7.10 	4.41 	2.01 	0.804 	2.14 	1.90 	0.429 	15.1   	23.0  
15 	43.0   	22.2 	6.41 	7.50 	4.12 	1.93 	0.815 	1.79 	1.90 	0.442 	12.6 	17.5  
16 	38.0   	17.6 	6.25 	7.60 	4.06 	1.87 	0.828 	1.57 	1.70 	0.631 	26.2 	13.8  
17 	20.9   	14.4 	5.86 	7.88 	4.05 	1.88 	0.856 	1.41 	1.50 	0.989 	58.0   	10.3  
18 	22.4 	12.6 	5.67 	8.17 	3.96 	1.92 	0.737 	1.24 	1.37 	0.774 	41.7 	10.0  
19 	19.7 	28.2 	6.18 	8.48 	4.68 	1.98 	0.704 	1.09 	1.30 	0.764 	38.6   	9.20  
20 	15.4 	24.6 	6.86 	9.22 	5.18 	1.90 	0.721 	0.931 	1.23 	0.688 	80.0   	8.30  
21 	13.1 	19.1 	6.88 	9.82 	4.48 	2.04 	0.676 	0.817 	1.15 	0.605 	34.8   	7.80  
22 	10.8 	15.0 	7.00 	9.96 	3.87 	2.21 	0.666 	0.692 	1.12 	0.708 	23.5 	7.60  
23 	9.55 	12.4 	6.79 	9.13 	3.24 	2.24 	0.637 	0.634 	1.10 	0.824 	17.2 	20.2  
24 	8.66 	10.2 	6.83 	9.73 	3.19 	2.33 	0.577 	0.638 	0.960 	0.824 	17.9 	19.9
25 	7.78 	8.76 	6.34 	7.76 	3.71 	2.31 	0.588 	0.634 	0.916 	0.785 	31.1 	21.0
26 	6.97 	8.24 	5.69 	6.50 	3.48 	2.34 	0.566 	0.594 	0.967 	0.738 	21.0 	50.5  
27 	6.60 	7.59 	5.24 	5.86 	3.09 	2.08 	0.571 	0.813 	0.849 	0.797 	16.9 	57.0  
28 	6.45 	7.13 	4.63 	5.46 	2.81 	1.84 	0.618 	2.39 	0.772 	0.682 	13.9 	36.1
29 	6.00 		4.65 	5.14 	2.68 	1.72 	0.582 	51.7 	0.732 	0.661 	11.7 	23.7
30 	6.07 		4.88 	4.68 	2.79 	1.73 	0.444 	80.4 	0.761 	0.595 	10.5 	18.3
31 	6.32 		6.17 		2.76 		0.381 	32.1 		0.534 		15.2 
