1983 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	6.27 	10.8 	15.5 	19.6 	12.2 	9.44 	3.74 	1.70 	0.930 	0.550 	5.42 	15.2
2 	9.24 	8.91 	13.1 	24.1 	11.3 	7.76 	3.82 	1.74 	1.11 	0.550 	24.5 	12.6
3 	14.4 	7.73 	11.1 	20.0 	9.81 	7.11 	3.60 	1.74 	1.02 	0.550 	47.7 	10.7
4 	14.4 	6.94 	9.62 	15.7 	9.07 	6.12 	3.24 	1.70 	0.930 	0.550 	46.6 	9.07
5 	20.3 	6.16 	8.39 	13.3 	7.91 	5.53 	3.05 	1.56 	0.840 	0.535 	41.4 	7.91
6 	18.1 	5.71 	7.76 	11.3 	7.11 	5.77 	2.98 	1.52 	0.795 	0.520 	40.3 	7.11
7 	24.7 	6.72 	10.2 	10.4 	8.54 	5.65 	2.86 	1.34 	0.795 	0.580 	28.9 	6.37
8 	110 	6.05 	16.3 	9.07 	9.25 	6.49 	3.67 	1.34 	0.795 	0.520 	18.9 	7.60
9 	46.2 	6.05 	269 	8.07 	7.48 	6.62 	5.00 	1.25 	0.750 	0.506 	15.3 	24.5
10 	78.9 	17.5 	86.8 	7.91 	6.12 	22.8 	3.67 	1.20 	0.975 	0.491 	22.6 	19.6
11 	53.0 	322 	64.1 	8.70 	6.12 	12.8 	3.67 	1.11 	1.70 	0.491 	154 	23.4
12 	63.7 	255 	35.4 	7.91 	6.62 	10.4 	29.8 	1.11 	1.52 	0.476 	91.4 	20.6
13 	46.6 	107 	44.0 	6.98 	7.60 	7.23 	16.1 	1.07 	1.38 	0.476 	49.5 	29.8
14 	27.1 	58.2 	98.3 	6.25 	8.54 	5.88 	12.4 	1.02 	1.20 	0.476 	45.8 	27.6
15 	19.2 	48.4 	60.6 	5.88 	10.2 	6.00 	9.25 	0.975 	1.07 	0.476 	392 	21.0
16 	14.4 	51.0 	32.9 	5.53 	8.23 	5.53 	6.86 	0.885 	0.975 	0.476 	227 	16.5
17 	12.5 	72.5 	24.1 	5.65 	7.48 	5.00 	5.42 	0.840 	0.975 	0.520 	118 	13.3
18 	30.6 	91.4 	18.9 	6.25 	8.70 	6.74 	4.78 	0.795 	1.07 	0.617 	88.0 	10.9
19 	43.2 	43.6 	15.3 	7.48 	9.62 	5.42 	4.26 	0.750 	1.52 	0.583 	45.8 	9.07
20 	25.0 	94.6 	12.8 	8.88 	12.6 	4.71 	3.97 	0.717 	1.20 	0.795 	48.0 	7.48
21 	17.9 	46.6 	10.9 	8.54 	13.7 	4.19 	3.74 	0.683 	1.07 	1.79 	33.7 	4.10  
22 	13.5 	49.9 	9.81 	7.60 	11.8 	3.82 	3.37 	0.617 	0.930 	23.0 	24.7 	4.05  
23 	11.3 	92.8 	8.88 	6.98 	12.8 	3.97 	3.05 	0.583 	0.840 	9.99 	20.4 	4.00  
24 	12.3 	73.7 	9.44 	8.23 	13.9 	5.65 	2.73 	0.583 	0.750 	5.65 	24.7 	3.95  
25 	37.3 	43.6 	7.91 	12.2 	14.1 	4.63 	2.61 	0.583 	0.717 	4.41 	33.7 	3.95  
26 	104 	25.5 	7.35 	10.7 	11.0 	5.15 	2.35 	0.583 	0.683 	4.41 	25.7 	3.98  
27 	74.9 	22.8 	7.76 	9.25 	9.07 	4.71 	2.05 	0.535 	0.683 	9.62 	46.9 	3.99  
28 	38.2 	18.5 	7.35 	8.23 	10.9 	4.26 	2.35 	0.535 	0.650 	6.00 	30.1 	4.00  
29 	24.3 		10.9 	8.70 	13.9 	4.19 	2.16 	0.885 	0.617 	4.56 	24.1 	5.20  
30 	17.2 		27.0 	9.81 	15.9 	4.11 	1.83 	1.20 	0.583 	4.11 	18.7 	8.70  
31 	13.3 		25.9 		11.3 		1.43 	1.07 		7.48 		9.90   
